,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
499,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,9.2,595,30,193,267,185,26,534,11,16,68.8,12,0,405,2629,1755,421,385,91.4,11,9,Matches
500,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,1.6,168,3,40,72,64,8,144,4,6,66.7,4,0,105,534,280,112,100,89.3,3,0,Matches
501,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.2,1893,20,202,779,1076,135,1753,62,86,72.1,65,3,1433,12200,6830,1694,1411,83.3,49,40,Matches
502,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,8.9,496,27,106,266,171,34,486,20,30,66.7,21,3,364,2652,1567,394,317,80.5,26,19,Matches
503,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,108,1,12,69,31,4,106,5,10,50.0,6,1,80,508,251,94,76,80.9,3,13,Matches
504,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,31.3,844,21,64,330,499,171,817,24,48,50.0,25,0,576,3232,1751,1333,611,45.8,103,51,Matches
505,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,853,25,126,377,400,59,791,20,38,52.6,23,0,563,3578,1749,661,535,80.9,30,20,Matches
506,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,23.7,1764,54,392,1175,316,4,1701,14,22,63.6,15,1,1253,7109,3611,1365,1321,96.8,10,15,Matches
507,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,26.1,739,21,56,303,404,104,727,9,20,45.0,10,1,358,1440,683,1289,566,43.9,84,30,Matches
508,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,27.7,2071,122,604,1276,310,18,2022,24,29,82.8,24,2,1473,7111,3423,1589,1507,94.8,10,12,Matches
509,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,10.5,517,9,73,214,254,56,506,10,16,62.5,10,0,384,2211,1216,547,397,72.6,21,16,Matches
510,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,407,39,151,165,110,5,366,5,11,45.5,6,0,212,1152,699,277,225,81.2,6,5,Matches
511,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,317,38,166,143,20,6,309,1,1,100.0,1,0,170,820,287,194,187,96.4,1,3,Matches
512,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,836,36,192,443,240,12,656,8,17,47.1,9,2,503,2166,1220,508,479,94.3,5,3,Matches
513,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,398,37,118,205,93,8,332,0,2,0.0,0,0,197,1004,530,228,202,88.6,2,2,Matches
514,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,35.4,1810,9,191,849,964,219,1783,161,259,62.2,170,7,1670,13284,8814,1898,1416,74.6,118,162,Matches
515,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.9,799,167,524,319,20,7,781,4,6,66.7,4,0,432,3131,1915,444,441,99.3,4,4,Matches
516,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,1467,29,280,746,533,10,1353,5,10,50.0,5,0,961,4038,2313,1143,1101,96.3,6,8,Matches
517,Richairo Živković\Richairo-Zivkovic,nl NED,FWDF,Sheffield Utd,22,1996,0.8,26,0,1,11,17,2,25,1,3,33.3,1,0,20,130,65,38,21,55.3,3,1,Matches
518,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,24.0,2116,237,1105,1095,50,20,2089,8,12,66.7,9,0,1476,7632,4128,1580,1556,98.5,6,4,Matches
