,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
421,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,22.5,1256,57,358,680,286,22,1129,19,25,76.0,20,0,763,3871,1860,847,770,90.9,12,13,Matches
422,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,19.9,1368,58,404,671,390,19,1180,14,26,53.8,16,4,788,4457,2483,842,750,89.1,24,21,Matches
423,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,27.4,1336,35,219,679,479,51,1203,22,37,59.5,25,2,798,3465,1371,941,788,83.7,28,33,Matches
424,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.5,1684,21,194,752,863,161,1631,43,64,67.2,45,0,1283,8101,4725,1513,1323,87.4,15,22,Matches
425,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,19.4,1632,19,136,795,815,165,1576,33,49,67.3,34,0,1202,6367,3480,1542,1346,87.3,26,19,Matches
426,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,129,19,65,61,5,1,115,2,3,66.7,2,0,76,342,98,69,64,92.8,2,0,Matches
427,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,26.4,1487,74,377,832,386,32,1428,40,64,62.5,44,4,999,6624,3634,1092,966,88.5,18,30,Matches
428,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.7,36,1,11,24,2,0,36,2,2,100.0,2,0,23,121,58,21,20,95.2,1,1,Matches
429,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,3.7,209,4,40,113,63,4,202,2,3,66.7,2,0,133,529,198,161,145,90.1,1,3,Matches
430,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,21.8,1286,70,403,639,354,25,1098,25,51,49.0,29,4,771,5781,3392,781,722,92.4,23,21,Matches
431,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,50,3,12,30,16,0,50,1,1,100.0,1,0,36,281,180,47,39,83.0,5,2,Matches
432,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,805,16,140,310,397,60,707,15,27,55.6,16,1,511,3373,1687,664,501,75.5,12,35,Matches
433,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,910,55,268,426,260,17,715,3,7,42.9,3,0,397,2317,1148,463,416,89.8,13,9,Matches
434,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,161,5,40,68,59,2,141,2,2,100.0,2,0,90,484,254,102,94,92.2,3,2,Matches
435,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,17.6,666,19,82,315,315,80,641,30,56,53.6,31,0,461,3282,1774,781,449,57.5,54,51,Matches
436,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,9.6,449,39,119,234,106,32,444,0,4,0.0,0,1,192,659,234,316,241,76.3,8,2,Matches
437,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,2630,296,1371,1330,83,33,2580,18,22,81.8,19,0,1753,10455,4677,1852,1829,98.8,8,8,Matches
438,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,38,1,5,19,15,3,38,1,4,25.0,1,1,26,94,44,44,27,61.4,2,3,Matches
439,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,961,89,360,432,236,26,809,16,26,61.5,19,0,512,3391,1934,550,478,86.9,16,13,Matches
440,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.6,365,10,63,140,185,15,326,12,19,63.2,13,1,254,1683,937,295,241,81.7,10,8,Matches
441,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,2,2,2,0,0,0,1,0,0,,0,0,1,0,0,1,1,100.0,0,0,Matches
442,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,27.1,1858,92,564,1112,285,9,1842,10,11,90.9,10,0,1254,5866,2167,1359,1290,94.9,11,16,Matches
443,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,26.2,1438,203,781,715,42,16,1393,8,11,72.7,8,1,735,4553,2512,778,756,97.2,8,7,Matches
444,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,28.5,1585,12,92,562,1045,278,1566,58,126,46.0,66,3,1290,8577,5705,1631,1300,79.7,50,71,Matches
445,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,36.2,2264,91,513,968,912,80,1947,61,86,70.9,63,6,1425,8035,4556,1451,1326,91.4,39,54,Matches
446,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,12.3,524,22,78,277,208,41,504,20,34,58.8,22,3,374,2362,1393,547,383,70.0,21,20,Matches
447,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,1100,110,439,705,57,11,1086,3,4,75.0,4,0,766,5534,3318,866,852,98.4,2,0,Matches
448,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,33,0,2,11,24,3,33,1,4,25.0,2,0,28,168,95,55,27,49.1,3,2,Matches
449,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,79,3,24,37,25,1,74,3,3,100.0,3,0,56,278,135,53,51,96.2,1,1,Matches
450,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,148,9,57,73,22,0,139,1,1,100.0,1,0,73,325,94,83,79,95.2,3,1,Matches
451,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,20,0,2,5,13,5,20,1,2,50.0,1,0,11,72,46,36,17,47.2,4,1,Matches
452,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,320,32,137,162,38,2,286,7,10,70.0,7,0,166,855,455,171,156,91.2,5,8,Matches
453,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,24.5,1444,120,499,613,408,33,1224,10,23,43.5,14,1,741,3242,1822,809,749,92.6,6,19,Matches
454,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,37.0,1763,306,934,773,107,69,1739,15,16,93.8,16,0,711,3377,1369,809,769,95.1,12,5,Matches
455,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,1321,110,437,595,375,10,1048,19,39,48.7,22,3,613,5188,2515,657,614,93.5,12,17,Matches
