,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,22.6,46,28,23,19,4,21,46,45.7,25,319,93,29.2,135,128,56,67,8,0,59,42,88,56,1,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,10,7,7,3,0,2,25,8.0,23,164,47,28.7,41,108,15,12,2,0,10,5,15,7,1,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,32,18,13,11,8,6,24,25.0,18,224,83,37.1,104,83,37,32,1,0,31,20,52,51,0,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,2,0,0,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,18,14,3,13,2,3,19,15.8,16,280,75,26.8,19,146,115,11,2,0,9,3,21,23,0,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,44,23,29,13,2,17,30,56.7,13,223,86,38.6,129,83,11,35,11,0,24,32,76,85,3,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,4,2,2,2,0,1,2,50.0,1,15,4,26.7,3,10,2,0,0,0,0,1,5,0,0,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,33,58,176,1,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,17,13,7,7,3,3,17,17.6,14,140,43,30.7,40,71,29,8,1,0,7,5,22,4,0,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,27,11,19,8,0,15,32,46.9,17,169,56,33.1,106,54,9,31,10,0,21,12,39,67,1,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,27,17,10,17,0,10,24,41.7,14,207,79,38.2,78,109,20,40,11,0,29,30,57,65,0,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,48,29,27,12,9,24,49,49.0,25,250,76,30.4,123,82,45,23,2,0,21,21,69,35,2,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7,2,1,3,3,3,10,30.0,7,185,51,27.6,5,72,108,9,2,0,7,1,8,5,0,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,25,14,10,9,6,8,30,26.7,22,234,69,29.5,90,97,47,41,5,0,36,38,63,42,1,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,33.6,48,32,22,20,6,19,82,23.2,63,650,197,30.3,180,309,161,39,1,0,38,24,72,16,0,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,50,33,31,18,1,18,33,54.5,15,278,85,30.6,172,102,4,40,21,0,19,43,93,254,4,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,23,11,11,11,1,7,29,24.1,22,192,66,34.4,46,95,51,18,1,0,17,8,31,6,0,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,2,2,2,0,1,12,8.3,11,146,43,29.5,18,67,61,10,2,0,8,2,6,9,0,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2,2,0,2,0,1,8,12.5,7,88,22,25.0,4,39,45,3,1,0,2,1,3,2,0,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,54,38,19,29,6,14,40,35.0,26,292,101,34.6,68,167,57,21,4,0,17,46,100,19,1,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,59,36,34,20,5,23,61,37.7,38,444,130,29.3,184,232,28,57,20,0,37,15,74,68,0,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,26,70,229,3,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,44,28,24,17,3,20,50,40.0,30,374,105,28.1,170,160,44,55,13,1,42,34,78,98,1,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1,0,0,1,0,0,0,,0,21,6,28.6,1,8,12,1,0,0,1,0,1,0,0,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1,1,1,0,1,5,20.0,4,38,6,15.8,10,21,7,2,0,0,2,0,2,1,0,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,20,11,4,10,6,7,20,35.0,13,136,26,19.1,34,68,34,9,2,0,7,1,21,4,0,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,1,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,58,25,37,15,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,46,104,98,2,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,13,11,2,8,3,4,13,30.8,9,373,84,22.5,10,213,150,4,0,0,4,3,16,10,0,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,55,36,21,25,9,17,50,34.0,33,410,104,25.4,121,218,71,26,3,0,23,13,68,16,0,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,14,55,17,0,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,62,36,34,17,11,13,46,28.3,33,733,175,23.9,236,279,218,44,1,0,43,30,92,16,0,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,20,47,49,0,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,43,19,30,10,3,16,34,47.1,18,221,59,26.7,122,81,18,38,5,0,33,16,59,82,0,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,37,20,14,22,1,9,34,26.5,25,265,80,30.2,84,150,31,25,3,0,22,16,53,58,0,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,39,25,27,11,1,13,31,41.9,18,222,79,35.6,145,64,13,58,23,2,35,64,103,264,2,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.2,21,12,15,6,0,8,13,61.5,5,155,46,29.7,120,28,7,40,26,1,14,28,49,181,2,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,13,41,14,0,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,17,38,58,1,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,11,27,8,0,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,43,22,20,20,3,14,57,24.6,43,438,123,28.1,155,242,41,25,8,0,17,36,79,22,1,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,2,0,1,0,1,0,4,0.0,4,36,10,27.8,8,16,12,1,0,0,1,0,2,1,0,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,62,28,40,17,5,31,68,45.6,37,287,88,30.7,142,98,47,53,5,0,48,56,118,131,1,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,7,5,1,4,2,1,8,12.5,7,122,37,30.3,25,53,44,5,0,0,5,2,9,3,0,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27,15,22,4,1,9,23,39.1,14,218,51,23.4,128,56,34,25,9,0,16,19,46,61,2,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,18,13,7,8,3,4,26,15.4,22,286,98,34.3,50,153,83,28,2,0,26,14,32,9,1,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5,3,4,1,0,1,2,50.0,1,15,8,53.3,9,6,0,2,1,0,1,1,6,7,0,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,10,6,4,4,2,3,12,25.0,9,90,21,23.3,21,42,27,4,0,0,4,4,14,5,0,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,31.4,59,40,27,22,10,18,60,30.0,42,560,159,28.4,156,295,109,39,13,0,26,31,90,29,2,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,18,10,16,2,0,6,19,31.6,13,107,34,31.8,79,24,4,22,14,0,8,10,28,95,2,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,1,1,1,0,0,0,0,,0,24,5,20.8,10,9,5,5,0,0,5,3,4,2,0,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,21,66,14,0,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,18,11,1,9,8,8,25,32.0,17,579,143,24.7,25,294,260,31,5,0,26,4,22,40,0,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,2,1,0,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,83,63,34,44,5,37,100,37.0,63,593,190,32.0,191,313,89,45,12,0,33,61,144,47,0,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,4.9,0,0,0,0,0,0,2,0.0,2,4,2,50.0,4,0,0,0,0,0,0,0,0,0,0,Matches
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,78,46,38,32,8,27,69,39.1,42,639,158,24.7,193,372,74,39,7,0,32,43,121,65,0,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,25,16,14,10,1,14,30,46.7,16,243,62,25.5,68,148,27,15,2,0,13,5,30,8,0,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,1,0,1,0,0,6,0.0,6,129,28,21.7,2,77,50,5,0,0,5,2,3,5,0,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,1,1,1,1,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,62,31,30,29,3,25,43,58.1,18,251,83,33.1,107,108,36,40,6,0,34,34,96,100,0,Matches
96,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,14,8,7,4,3,7,20,35.0,13,127,50,39.4,36,58,33,35,1,0,34,19,33,24,0,Matches
97,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,9,17,18,0,Matches
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,1,0,0,Matches
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,10.8,10,5,5,4,1,2,15,13.3,13,146,32,21.9,64,44,38,26,5,0,21,8,18,20,2,Matches
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.1,41,29,27,9,5,13,36,36.1,23,260,86,33.1,106,88,66,25,2,0,23,15,56,29,2,Matches
101,Janis Antiste\Janis-Antiste,fr FRA,FW,Toulouse,fr Ligue 1,16,2002,0.1,,0,,,,,,,,,,,,,,,,,,0,0,,,Matches
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,14,10,5,4,5,2,14,14.3,12,337,78,23.1,31,151,155,26,5,0,21,9,23,9,0,Matches
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,25,16,18,7,0,12,27,44.4,15,148,49,33.1,87,46,15,24,0,0,24,18,43,24,0,Matches
104,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,4,2,1,0,3,2,3,66.7,1,23,6,26.1,5,13,5,2,0,0,2,2,6,2,0,Matches
105,Vitorino Antunes\Vitorino-Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,0,0,0,Matches
106,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,31,20,15,14,2,9,38,23.7,29,483,123,25.5,144,216,123,46,2,0,44,17,48,13,0,Matches
107,Anuar\Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,4,4,2,2,0,1,3,33.3,2,37,7,18.9,13,21,3,6,3,0,3,5,9,1,0,Matches
108,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,28,19,8,16,4,3,28,10.7,25,388,100,25.8,88,205,95,19,1,0,18,13,41,12,0,Matches
109,Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,2,2,2,0,0,0,2,0.0,2,29,7,24.1,6,10,13,3,0,0,3,0,2,0,0,Matches
110,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,63,32,39,16,8,19,45,42.2,26,303,97,32.0,146,126,31,20,3,0,17,21,84,65,0,Matches
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,74,49,28,38,8,20,63,31.7,43,800,207,25.9,170,515,115,69,6,0,63,41,115,49,0,Matches
112,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,5,2,2,3,0,3,4,75.0,1,24,7,29.2,14,6,4,2,0,0,2,2,7,2,0,Matches
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,55,31,23,28,4,28,75,37.3,47,529,197,37.2,165,289,75,38,6,0,32,23,78,34,1,Matches
114,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,18,9,3,8,7,6,32,18.8,26,262,75,28.6,41,114,107,16,0,0,16,5,23,7,0,Matches
115,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,47,27,37,9,1,15,32,46.9,17,217,71,32.7,144,64,9,43,22,0,21,52,99,205,0,Matches
116,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,4,2,2,2,0,3,4,75.0,1,26,8,30.8,18,8,0,9,3,0,6,1,5,11,0,Matches
117,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,31,64,136,2,Matches
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,24,54,35,0,Matches
121,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,1,0,1,0,0,1,1,100.0,0,5,1,20.0,5,0,0,0,0,0,0,0,1,1,0,Matches
122,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,49,25,27,14,8,13,46,28.3,33,407,129,31.7,115,187,105,24,5,0,19,10,59,22,1,Matches
123,José Arnaiz\Jose-Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,5,3,0,4,1,0,12,0.0,12,164,43,26.2,26,69,69,14,0,0,14,6,11,6,0,Matches
124,José Arnaiz\Jose-Arnaiz,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,4,3,3,1,0,1,4,25.0,3,76,17,22.4,21,36,19,7,0,0,7,2,6,1,0,Matches
125,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,57,35,21,31,5,22,83,26.5,61,578,185,32.0,169,320,89,37,7,0,30,29,86,45,0,Matches
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,1,1,1,2,Matches
