,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,743,659,84,26,4,119,35,72,46,18,16,5,468,111,164,173,532,23,10,2,549,4,9,18,19,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,36.6,2314,2232,82,71,2,304,57,8,0,0,0,0,1728,214,372,562,1564,114,11,4,2039,2,42,12,13,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,21.5,612,369,243,64,0,54,14,0,0,0,0,0,106,38,468,17,463,0,0,81,339,4,14,1,3,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,22.1,1472,1449,23,16,5,233,37,9,0,0,0,0,1017,201,254,102,1274,61,4,2,1288,2,18,9,14,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,10,7,3,0,0,0,0,0,0,0,0,0,6,1,3,2,6,0,0,2,7,0,1,0,0,Matches
136,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.4,1266,989,277,16,0,162,23,66,2,1,1,0,667,296,303,144,791,53,259,4,976,1,21,31,36,Matches
137,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,11.2,726,632,94,26,4,122,44,68,50,15,22,4,438,125,163,59,647,12,5,2,515,3,10,19,30,Matches
138,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,51,44,7,1,0,11,0,6,0,0,0,0,30,14,7,4,39,2,6,0,40,0,1,0,3,Matches
139,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,28.1,1163,1032,131,40,1,164,51,27,0,0,0,0,703,145,315,69,916,56,90,1,893,4,37,19,23,Matches
140,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.1,2137,2081,56,44,2,248,75,4,0,0,0,0,1664,190,283,235,1756,83,12,9,1934,6,23,12,22,Matches
141,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,31.9,1125,1100,25,3,7,301,8,8,0,0,0,0,844,196,85,150,886,54,10,12,896,3,7,48,54,Matches
142,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,27.0,1142,1011,131,30,3,223,63,143,76,49,10,5,668,211,263,970,94,55,6,8,842,8,21,21,47,Matches
143,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,9.5,462,449,13,4,3,67,16,23,5,1,1,0,364,45,53,411,33,8,4,2,393,0,5,2,14,Matches
144,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,22.4,826,790,36,9,6,202,29,60,19,4,9,3,542,156,128,99,694,21,2,5,630,0,13,15,51,Matches
145,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,37.0,1182,722,460,172,0,96,55,0,0,0,0,0,169,57,956,780,159,1,1,118,522,13,36,7,3,Matches
146,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.0,54,49,5,0,0,2,1,1,0,0,0,0,40,7,7,13,33,3,5,0,49,0,2,1,0,Matches
147,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,13,12,1,0,0,5,0,1,0,0,0,0,7,4,2,2,10,0,1,0,10,0,1,0,1,Matches
148,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,60,52,8,1,0,12,3,0,0,0,0,0,44,8,8,6,46,0,7,0,53,1,1,1,0,Matches
149,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,544,504,40,11,1,123,18,16,0,0,0,0,272,126,146,48,403,34,29,2,425,0,10,9,6,Matches
150,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,950,818,132,35,9,205,29,173,64,25,20,8,516,180,254,195,697,27,19,5,648,4,18,16,38,Matches
151,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,1714,1608,106,53,3,344,83,63,42,15,16,0,1231,232,251,1200,466,29,8,6,1463,2,18,20,37,Matches
152,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,23.9,1027,834,193,5,0,158,6,57,0,0,0,0,539,165,323,83,680,61,188,2,746,3,12,12,44,Matches
153,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,Matches
154,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,150,143,7,0,0,37,2,15,7,4,1,0,92,31,27,124,18,4,0,0,110,0,7,2,11,Matches
155,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,630,544,86,12,1,87,17,16,0,0,0,0,389,122,119,457,60,25,74,1,510,1,12,11,12,Matches
156,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.3,659,652,7,6,0,49,15,1,0,0,0,0,597,29,33,59,584,10,1,1,626,1,3,2,4,Matches
157,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,15,0,0,0,6,1,0,0,0,0,0,15,0,0,2,12,0,0,1,15,0,0,0,0,Matches
158,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,8.7,141,127,14,1,1,43,4,3,0,0,0,0,78,32,31,20,88,13,2,2,103,1,5,2,4,Matches
159,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,516,350,166,26,1,63,10,0,0,0,0,0,223,15,278,21,393,0,0,58,319,2,14,0,2,Matches
160,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,67,64,3,3,0,9,3,0,0,0,0,0,46,7,14,7,55,4,0,0,50,0,6,0,5,Matches
161,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,36.0,885,570,315,70,0,105,21,0,0,0,0,0,513,77,295,51,659,0,1,142,685,1,17,3,5,Matches
162,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,615,574,41,3,0,154,30,106,17,7,5,0,331,134,150,95,450,29,16,4,402,4,28,9,47,Matches
163,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,82,80,2,1,1,17,0,3,0,0,0,0,49,17,16,3,68,5,1,2,66,1,2,1,1,Matches
164,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,169,168,1,1,0,37,7,1,0,0,0,0,119,30,20,10,144,12,0,0,151,0,1,2,1,Matches
165,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,9.5,256,237,19,0,2,83,1,2,0,0,0,0,107,99,50,148,38,30,0,16,172,0,4,7,8,Matches
166,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,28.4,1581,1535,46,34,1,253,75,3,0,0,0,0,1229,160,192,133,1351,52,12,2,1397,1,35,18,14,Matches
167,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,15.2,749,723,26,16,1,112,62,11,1,0,1,0,488,119,142,198,510,27,2,3,623,2,23,11,16,Matches
168,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,13,13,0,0,1,0,1,0,0,0,0,0,10,0,3,0,13,0,0,0,11,0,2,0,0,Matches
169,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,20.3,1779,1734,45,31,0,189,56,8,0,0,0,0,1338,171,270,119,1516,80,14,1,1586,2,17,4,10,Matches
170,Anthony Gordon\Anthony-Gordon,eng ENG,MF,Everton,18,2001,4.5,105,96,9,5,1,13,1,6,0,0,0,0,85,8,12,7,95,2,0,1,82,1,2,1,3,Matches
171,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,13.0,476,467,9,4,0,118,6,3,0,0,0,0,306,104,66,47,387,25,1,2,379,1,11,10,19,Matches
172,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,155,147,8,0,2,55,2,5,0,0,0,0,96,41,18,33,101,8,0,5,102,0,4,6,16,Matches
173,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.7,314,303,11,2,3,70,9,27,5,3,1,0,236,47,31,24,277,2,4,5,263,2,3,2,13,Matches
174,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,34.9,1511,1314,197,73,5,341,83,137,74,47,6,9,1055,209,247,102,1341,18,29,6,1194,5,24,27,49,Matches
175,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,12.8,416,413,3,0,0,88,11,9,2,0,1,0,329,47,40,324,79,9,0,0,355,1,5,6,10,Matches
176,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,227,221,6,1,0,63,5,9,3,2,1,0,160,41,26,30,184,10,2,0,181,1,4,5,14,Matches
177,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,1028,888,140,48,3,195,66,146,80,22,31,19,605,152,271,179,802,26,3,4,762,9,16,16,37,Matches
178,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,34.0,1031,684,347,77,0,113,27,0,0,0,0,0,298,68,665,77,716,1,1,160,578,5,48,0,0,Matches
179,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1144,1108,36,26,3,224,29,6,1,0,0,0,929,112,103,62,1032,34,8,5,1018,3,6,18,32,Matches
180,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.8,998,789,209,13,1,137,25,89,1,0,0,0,431,221,346,89,619,66,195,7,668,7,33,17,51,Matches
181,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.9,1929,1868,61,28,11,344,44,30,23,10,4,2,1495,246,188,531,1337,40,5,3,1754,3,13,24,24,Matches
182,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,256,144,112,33,0,19,9,0,0,0,0,0,58,11,187,8,202,0,0,24,111,0,10,2,0,Matches
183,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,24.5,743,713,30,0,2,316,4,8,0,0,0,0,333,195,215,80,422,58,0,22,503,3,8,21,27,Matches
184,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,639,606,33,33,0,97,21,0,0,0,0,0,464,64,111,66,527,32,0,1,538,2,14,4,6,Matches
185,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.0,788,742,46,25,0,140,26,0,0,0,0,0,417,125,246,569,76,61,21,1,590,4,20,12,15,Matches
186,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.5,831,782,49,15,3,199,12,38,0,0,0,0,546,116,169,103,621,53,12,5,628,2,15,14,36,Matches
187,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,614,342,272,76,0,62,17,0,0,0,0,0,210,22,382,28,461,1,0,95,350,2,22,1,0,Matches
188,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,35.0,1004,638,366,116,0,75,24,0,0,0,0,0,128,58,818,59,721,0,0,96,411,3,57,3,6,Matches
189,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,1879,1834,45,16,14,275,73,58,1,0,0,0,1224,270,385,209,1565,68,13,4,1582,4,20,15,40,Matches
190,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,575,548,27,3,0,135,12,31,6,6,0,0,370,79,126,60,461,29,7,6,420,5,15,11,40,Matches
191,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,103,51,52,13,0,4,2,0,0,0,0,0,13,1,89,9,83,0,0,6,44,1,4,0,0,Matches
192,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,22,18,4,0,0,3,0,1,0,0,0,0,17,3,2,6,14,1,0,1,19,0,0,0,1,Matches
193,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,14.4,320,311,9,0,1,85,2,24,1,0,0,0,240,50,30,57,242,9,7,2,238,0,1,6,18,Matches
194,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,26.6,849,770,79,12,6,194,30,75,46,20,13,7,606,139,104,115,684,23,15,4,681,1,10,15,40,Matches
195,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,6,6,0,0,0,4,0,0,0,0,0,0,3,1,2,0,4,0,0,0,4,0,0,0,0,Matches
196,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,5.5,290,282,8,7,1,33,11,0,0,0,0,0,234,14,42,35,236,13,1,0,254,2,8,2,1,Matches
197,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,608,422,186,17,0,85,31,70,36,12,17,5,252,133,223,373,48,32,133,0,431,1,11,10,11,Matches
198,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,991,954,37,25,1,127,44,2,0,0,0,0,712,99,180,149,758,53,11,0,855,1,23,8,11,Matches
199,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,14,13,1,0,0,4,0,2,0,0,0,0,9,4,1,0,13,0,1,0,11,0,0,0,1,Matches
200,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,16.2,690,539,151,69,2,87,31,107,53,20,19,0,443,94,153,603,52,15,11,2,521,2,14,12,21,Matches
201,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.1,456,429,27,2,1,135,29,59,18,5,7,0,291,74,91,55,374,16,7,1,369,2,12,7,14,Matches
202,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,24.1,877,820,57,24,2,165,21,60,31,17,3,7,514,187,176,667,140,42,2,6,642,6,17,24,28,Matches
203,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,1810,1745,65,41,2,372,51,28,1,0,0,0,1114,310,386,308,1298,132,19,16,1413,3,60,18,35,Matches
204,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,22,18,4,1,0,4,1,3,1,0,1,0,13,3,6,5,13,2,2,0,17,0,0,0,2,Matches
205,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.4,42,40,2,0,0,15,0,0,0,0,0,0,22,17,3,6,28,3,1,2,32,0,1,0,2,Matches
206,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.0,20,20,0,0,0,4,0,0,0,0,0,0,15,3,2,2,17,1,0,0,18,0,0,0,0,Matches
207,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,22,1996,10.0,241,235,6,0,7,75,3,2,0,0,0,0,183,40,18,204,23,9,0,3,191,0,3,6,16,Matches
208,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,30.2,643,628,15,0,3,163,16,25,0,0,0,0,331,145,167,83,479,52,1,6,413,7,19,15,32,Matches
209,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,614,603,11,3,5,112,26,48,1,0,0,0,414,104,96,66,528,9,3,3,462,3,12,15,34,Matches
210,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,74,71,3,0,0,11,3,1,0,0,0,0,47,6,21,11,55,2,3,0,59,0,4,0,1,Matches
211,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.4,139,135,4,0,0,21,2,24,1,0,0,0,86,31,22,15,116,4,3,1,84,0,5,3,10,Matches
212,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,803,789,14,4,3,183,21,96,3,1,1,0,588,118,97,99,681,14,5,1,586,3,18,15,63,Matches
213,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,6,0,0,0,0,Matches
214,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,14.8,1149,966,183,23,2,182,27,98,9,4,5,0,716,216,217,88,858,29,151,4,965,1,21,9,35,Matches
215,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,341,287,54,1,0,64,9,23,0,0,0,0,173,90,78,43,237,8,53,0,257,0,7,4,17,Matches
216,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,21.6,569,550,19,0,1,138,7,6,1,0,0,0,431,91,47,68,451,17,4,10,497,1,6,13,16,Matches
217,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,35.0,981,944,37,3,7,293,34,22,0,0,0,0,506,290,185,59,780,44,11,43,722,2,19,27,49,Matches
218,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.3,790,750,40,1,4,311,11,5,0,0,0,0,482,171,137,124,479,61,5,16,633,3,15,11,20,Matches
219,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,1.0,31,24,7,0,0,2,1,2,0,0,0,0,10,4,17,1,18,5,7,0,15,0,2,2,2,Matches
220,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.1,110,110,0,0,0,17,3,0,0,0,0,0,92,12,6,13,95,1,0,0,99,0,1,2,1,Matches
221,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,89,86,3,2,0,22,3,1,0,0,0,0,67,14,8,7,73,3,1,2,79,0,2,1,1,Matches
222,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,24.5,2072,2018,54,49,4,409,62,9,0,0,0,0,1433,313,326,118,1892,43,5,5,1820,6,15,20,18,Matches
223,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,98,93,5,2,3,24,1,2,1,1,0,0,63,14,21,83,10,3,2,0,73,1,1,2,2,Matches
224,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,24.5,829,793,36,0,0,199,21,32,1,0,0,0,565,156,108,247,534,22,5,6,659,4,14,15,46,Matches
225,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,10.2,735,629,106,11,1,101,9,36,0,0,0,0,452,160,123,112,483,35,95,2,594,0,16,7,30,Matches
226,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,24.0,607,595,12,10,0,98,24,0,0,0,0,0,323,97,187,46,487,46,2,2,454,1,13,8,7,Matches
227,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,27.7,579,548,31,5,6,181,17,21,0,0,0,0,308,162,109,61,423,32,6,9,385,2,14,19,33,Matches
228,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,1139,1130,9,7,0,241,18,26,0,0,0,0,817,173,149,149,920,47,1,7,973,5,13,18,34,Matches
229,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,8.7,131,126,5,1,1,33,2,11,0,0,0,0,79,34,18,21,95,5,1,7,96,0,2,4,11,Matches
230,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,27.4,1283,1241,42,38,2,188,36,0,0,0,0,0,898,150,235,194,930,85,4,5,1077,5,34,9,14,Matches
231,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,7.4,569,562,7,1,5,89,9,7,2,0,0,0,430,89,50,74,470,15,3,2,506,1,6,8,13,Matches
232,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,6.1,208,175,33,6,0,28,0,5,0,0,0,0,121,33,54,148,12,16,27,0,156,1,5,2,6,Matches
233,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,669,541,128,13,0,124,9,20,0,0,0,0,337,143,189,65,448,27,115,1,493,3,16,20,19,Matches
234,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,90,90,0,0,0,14,1,0,0,0,0,0,67,9,14,76,6,4,0,1,72,2,1,1,1,Matches
235,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,21.4,469,456,13,1,3,141,4,20,1,0,0,0,305,98,66,44,372,16,2,5,341,2,9,14,29,Matches
236,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,389,375,14,11,0,35,10,0,0,0,0,0,287,40,62,114,232,27,3,3,330,1,5,5,4,Matches
237,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,30,24,6,0,0,7,0,0,0,0,0,0,21,4,5,2,24,1,0,0,19,0,1,1,1,Matches
238,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.5,1015,901,114,3,0,152,10,29,0,0,0,0,693,152,170,727,104,56,111,3,856,4,17,14,25,Matches
239,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,21.7,817,714,103,18,0,114,17,13,0,0,0,0,479,134,204,77,575,42,85,5,649,0,18,10,15,Matches
240,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,27.1,817,803,14,8,0,199,4,15,0,0,0,0,527,139,151,68,605,69,5,14,620,1,17,15,30,Matches
241,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,21.1,1743,1699,44,37,5,324,75,8,0,0,0,0,1358,217,168,75,1628,24,7,4,1571,3,14,24,18,Matches
242,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,433,358,75,7,0,51,8,20,0,0,0,0,243,73,117,21,316,20,68,2,316,3,5,11,21,Matches
243,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,35.0,1500,1085,415,104,0,225,36,0,0,0,0,0,678,125,697,969,291,1,1,173,1014,3,43,5,4,Matches
244,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.2,490,451,39,1,4,123,9,15,0,0,0,0,330,97,63,73,397,8,0,4,382,0,13,9,23,Matches
245,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,270,268,2,1,0,48,4,3,0,0,0,0,204,38,28,77,170,13,1,3,229,2,0,4,9,Matches
246,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,596,541,55,9,2,143,24,49,40,28,7,1,431,77,88,518,57,13,1,7,469,2,7,16,23,Matches
247,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,14,9,5,0,1,0,0,2,0,0,0,0,5,4,5,4,5,0,5,0,12,0,0,0,2,Matches
248,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,5.5,204,162,42,4,0,23,1,16,0,0,0,0,106,44,54,46,109,8,38,2,150,0,7,2,12,Matches
249,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,81,80,1,0,0,15,6,1,0,0,0,0,46,15,20,7,62,10,0,1,60,0,3,1,3,Matches
250,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.1,784,723,61,18,3,152,29,42,32,17,11,1,569,118,97,85,668,17,2,9,662,3,11,15,13,Matches
251,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,11.2,1016,996,20,13,0,120,33,0,0,0,0,0,825,95,96,759,188,39,7,6,949,0,5,4,9,Matches
252,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,811,796,15,15,1,144,22,0,0,0,0,0,539,89,183,117,579,76,0,2,669,4,10,7,9,Matches
253,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,4.3,167,142,25,4,0,24,5,13,11,1,4,5,102,30,35,19,130,5,10,1,138,1,2,4,3,Matches
254,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,553,527,26,20,2,96,15,5,1,1,0,0,434,60,59,88,449,5,4,3,472,5,7,7,13,Matches
255,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,187,169,18,6,0,41,8,2,0,0,0,0,106,23,58,40,120,7,12,0,136,0,7,3,2,Matches
256,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,131,129,2,0,0,32,5,8,1,1,0,0,91,21,19,11,112,4,1,0,92,0,3,2,10,Matches
257,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,990,680,310,59,0,127,22,0,0,0,0,0,612,52,326,153,631,4,0,174,742,5,22,3,1,Matches
258,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,29.0,1353,1324,29,24,0,278,37,6,0,0,0,0,803,244,306,141,1060,110,5,2,1072,4,33,20,24,Matches
259,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,24.6,1281,1032,249,14,1,213,19,44,0,0,0,0,751,319,211,886,126,25,235,1,1013,3,22,30,53,Matches
260,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,32.4,1892,1834,58,46,2,267,29,2,0,0,0,0,1482,181,229,238,1511,71,12,14,1661,1,30,24,20,Matches
261,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.2,408,388,20,3,1,80,4,7,2,0,0,0,326,54,28,19,365,9,6,8,350,3,5,8,11,Matches
262,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,19.1,542,367,175,38,0,49,13,0,0,0,0,0,222,38,282,317,105,0,0,80,374,2,8,1,1,Matches
263,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,15.9,966,886,80,35,2,173,45,54,39,17,9,7,653,161,152,818,108,20,6,8,800,4,10,16,21,Matches
264,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,19,19,0,0,0,10,0,1,0,0,0,0,11,3,5,2,14,2,0,0,9,1,0,0,3,Matches
265,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.2,125,123,2,2,1,11,4,1,0,0,0,0,99,15,11,12,105,6,0,1,111,0,3,2,1,Matches
266,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,5.3,151,148,3,2,0,19,2,0,0,0,0,0,87,16,48,9,106,24,1,0,116,0,5,0,1,Matches
267,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.4,405,400,5,0,0,169,8,20,0,0,0,0,134,146,125,48,184,56,1,24,226,1,15,6,28,Matches
