,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,57,3.44,44,2,5,3,3,8,0.48,7,0,1,0,0,0,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1,1.23,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,14,2.98,13,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,18.3,56,3.06,31,1,15,4,5,7,0.38,2,0,2,2,1,0,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,18.7,48,2.56,37,0,4,4,3,8,0.43,5,0,1,2,0,0,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,32.0,1,0.03,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,22,2.64,17,2,2,0,1,3,0.36,2,1,0,0,0,0,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,33.8,53,1.57,37,0,7,4,5,8,0.24,5,0,0,2,1,0,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,29.0,48,1.66,43,2,2,0,0,6,0.21,4,0,1,0,0,1,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,34.0,62,1.82,40,0,11,1,10,7,0.21,3,0,3,0,1,0,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,33.9,76,2.24,69,1,1,2,3,6,0.18,6,0,0,0,0,0,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,1,0.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,11,2.58,8,2,0,0,1,0,0.00,0,0,0,0,0,0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,4,0.31,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,37.0,64,1.73,51,4,6,0,3,6,0.16,4,0,1,0,1,0,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,20.0,15,0.75,10,3,0,2,0,0,0.00,0,0,0,0,0,0,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.2,46,3.76,31,1,6,5,3,5,0.41,4,0,0,1,0,0,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,19,1.26,12,0,1,1,5,1,0.07,0,0,0,0,1,0,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,22.9,77,3.36,59,0,8,5,5,15,0.65,12,0,2,1,0,0,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,35.1,23,0.65,20,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,7,2.64,5,0,1,1,0,3,1.13,2,0,0,1,0,0,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,13,0.38,11,0,0,1,1,1,0.03,0,0,0,1,0,0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,14,1.09,11,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,5,0.74,4,1,0,0,0,1,0.15,0,1,0,0,0,0,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,2,0.54,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,7.8,10,1.28,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,36,2.57,24,0,5,4,3,6,0.43,5,0,1,0,0,0,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.1,22,3.62,17,2,1,1,1,2,0.33,2,0,0,0,0,0,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,9.5,7,0.74,6,0,1,0,0,2,0.21,1,0,1,0,0,0,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.5,26,3.48,22,0,2,0,2,1,0.13,1,0,0,0,0,0,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.0,46,3.29,38,0,5,2,1,5,0.36,3,0,2,0,0,0,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.3,9,1.23,8,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,29.5,61,2.07,44,14,0,0,3,1,0.03,0,1,0,0,0,0,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,3,1.08,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,27.8,43,1.55,35,2,2,3,1,4,0.14,4,0,0,0,0,0,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,13.2,11,0.83,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,21.0,8,0.38,8,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,3,4.58,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
