,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
154,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,5,1.23,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
155,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,7,0.82,7,0,0,0,0,3,0.35,3,0,0,0,0,0,Matches
156,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.3,2,0.24,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,1,10.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
158,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,8.7,12,1.38,7,1,0,2,2,2,0.23,2,0,0,0,0,0,Matches
159,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,4,0.22,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
160,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
161,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,36.0,2,0.06,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,57,2.50,38,6,6,3,4,6,0.26,4,0,2,0,0,0,Matches
163,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,4,2.79,3,0,0,0,0,1,0.70,0,0,0,0,0,1,Matches
164,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,6,2.78,5,0,0,0,1,1,0.46,1,0,0,0,0,0,Matches
165,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,9.5,18,1.89,13,0,0,3,2,3,0.31,2,0,0,1,0,0,Matches
166,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,28.4,11,0.39,8,0,0,3,0,1,0.04,1,0,0,0,0,0,Matches
167,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,15.2,27,1.78,23,1,2,0,1,2,0.13,1,0,0,0,1,0,Matches
168,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,2,8.57,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
169,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,20.3,15,0.74,14,0,0,1,0,3,0.15,2,0,0,1,0,0,Matches
170,Anthony Gordon\Anthony-Gordon,eng ENG,MF,Everton,18,2001,4.5,9,1.99,7,2,0,0,0,1,0.22,1,0,0,0,0,0,Matches
171,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,13.0,18,1.38,15,0,0,1,2,1,0.08,1,0,0,0,0,0,Matches
172,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,14,1.67,11,0,1,2,0,1,0.12,0,0,0,1,0,0,Matches
173,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.7,28,4.17,24,1,1,1,1,6,0.89,5,0,0,0,1,0,Matches
174,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,34.9,178,5.10,126,22,10,2,18,15,0.43,11,1,2,0,1,0,Matches
175,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,12.8,32,2.50,29,0,1,0,2,6,0.47,6,0,0,0,0,0,Matches
176,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,8,1.14,5,1,0,0,2,0,0.00,0,0,0,0,0,0,Matches
177,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,93,4.66,51,33,4,1,2,8,0.40,3,3,0,0,0,2,Matches
178,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,34.0,3,0.09,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
179,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,34,1.75,26,0,3,2,3,2,0.10,1,0,0,0,1,0,Matches
180,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.8,31,1.42,24,4,0,1,2,4,0.18,4,0,0,0,0,0,Matches
181,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.9,72,3.28,63,2,1,3,3,3,0.14,3,0,0,0,0,0,Matches
182,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
183,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,24.5,50,2.04,41,1,1,4,3,7,0.29,3,0,0,2,2,0,Matches
184,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,2,0.14,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
185,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.0,8,0.47,7,0,0,1,0,1,0.06,0,0,0,1,0,0,Matches
186,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.5,26,1.06,21,0,0,2,3,3,0.12,1,0,0,1,1,0,Matches
187,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
188,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,35.0,4,0.11,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
189,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,46,1.85,41,1,1,3,0,7,0.28,6,0,0,1,0,0,Matches
190,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,27,1.26,21,3,1,2,0,1,0.05,1,0,0,0,0,0,Matches
191,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,1,0.33,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
192,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,2,1.68,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
193,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,14.4,41,2.84,27,1,8,3,2,4,0.28,3,0,1,0,0,0,Matches
194,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,26.6,93,3.49,59,7,15,10,2,22,0.83,13,1,3,4,1,0,Matches
195,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,1,11.25,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
196,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,5.5,1,0.18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
197,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,18,1.58,8,8,1,1,0,0,0.00,0,0,0,0,0,0,Matches
198,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,17,0.74,9,0,1,6,1,5,0.22,3,0,0,2,0,0,Matches
199,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
200,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,16.2,54,3.33,23,26,0,2,3,7,0.43,2,5,0,0,0,0,Matches
201,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.1,44,4.84,34,1,4,3,2,5,0.55,5,0,0,0,0,0,Matches
202,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,24.1,43,1.78,28,10,1,0,4,3,0.12,2,1,0,0,0,0,Matches
203,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,63,2.06,53,1,2,2,5,5,0.16,3,0,0,0,2,0,Matches
204,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
205,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.4,1,0.42,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
206,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.0,5,4.79,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
207,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,22,1996,10.0,36,3.59,21,0,8,4,3,5,0.50,3,0,1,0,1,0,Matches
208,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,30.2,83,2.75,53,0,14,9,7,11,0.36,5,0,5,1,0,0,Matches
209,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,44,2.48,41,0,2,1,0,2,0.11,2,0,0,0,0,0,Matches
210,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
211,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.4,8,2.32,5,0,1,0,1,1,0.29,0,0,0,0,0,1,Matches
212,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,64,2.52,44,0,4,5,11,8,0.31,8,0,0,0,0,0,Matches
213,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
214,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,14.8,44,2.97,30,7,1,1,5,4,0.27,4,0,0,0,0,0,Matches
215,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,14,2.08,13,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
216,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,21.6,66,3.06,44,0,13,8,1,13,0.60,9,0,3,1,0,0,Matches
217,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,35.0,83,2.37,57,0,13,8,5,12,0.34,7,0,2,1,2,0,Matches
218,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.3,57,1.94,47,1,2,4,3,3,0.10,3,0,0,0,0,0,Matches
219,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,1.0,1,1.00,1,0,0,0,0,1,1.00,1,0,0,0,0,0,Matches
220,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.1,3,2.84,2,0,1,0,0,1,0.95,1,0,0,0,0,0,Matches
221,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
222,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,24.5,61,2.49,57,0,0,1,3,6,0.25,5,0,0,0,1,0,Matches
223,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,8,2.15,7,0,0,0,1,1,0.27,1,0,0,0,0,0,Matches
224,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,24.5,88,3.60,51,1,15,8,13,6,0.25,4,0,0,1,1,0,Matches
225,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,10.2,20,1.95,17,0,0,0,3,2,0.20,2,0,0,0,0,0,Matches
226,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,24.0,7,0.29,6,0,0,0,1,2,0.08,2,0,0,0,0,0,Matches
227,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,27.7,53,1.91,37,0,7,4,5,6,0.22,3,0,0,2,1,0,Matches
228,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,51,2.65,47,0,0,1,3,1,0.05,1,0,0,0,0,0,Matches
229,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,8.7,21,2.41,10,0,6,3,2,1,0.11,0,0,0,1,0,0,Matches
230,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,27.4,9,0.33,9,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
231,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,7.4,31,4.19,27,1,2,1,0,5,0.68,5,0,0,0,0,0,Matches
232,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,6.1,5,0.82,4,1,0,0,0,1,0.16,1,0,0,0,0,0,Matches
233,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,9,0.52,9,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
234,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
235,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,21.4,51,2.39,34,0,10,3,4,7,0.33,3,0,2,1,1,0,Matches
236,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,2,0.31,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
237,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,3,2.31,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
238,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.5,18,0.97,18,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
239,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,21.7,14,0.65,9,0,1,2,2,2,0.09,1,0,0,1,0,0,Matches
240,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,27.1,16,0.59,14,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
241,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,21.1,63,2.99,59,0,2,1,1,7,0.33,7,0,0,0,0,0,Matches
242,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,4,0.35,4,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
243,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,35.0,2,0.06,1,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
244,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.2,57,2.82,36,0,5,9,7,12,0.59,5,0,3,4,0,0,Matches
245,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,9,2.12,7,0,1,0,1,1,0.24,1,0,0,0,0,0,Matches
246,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,47,3.48,27,5,3,4,7,9,0.67,3,1,0,3,1,1,Matches
247,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,1,2.81,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
248,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,5.5,4,0.72,2,1,0,0,1,2,0.36,1,1,0,0,0,0,Matches
249,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,2,0.92,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
250,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.1,55,3.65,38,11,1,1,4,5,0.33,2,0,0,0,3,0,Matches
251,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,11.2,8,0.71,7,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
252,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,7,0.30,5,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
253,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,4.3,8,1.85,4,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
254,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,16,2.10,14,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
255,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
256,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,7,1.27,6,0,0,0,1,1,0.18,1,0,0,0,0,0,Matches
257,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
258,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,29.0,34,1.17,28,0,2,0,4,2,0.07,2,0,0,0,0,0,Matches
259,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,24.6,32,1.30,26,2,3,0,1,1,0.04,1,0,0,0,0,0,Matches
260,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,32.4,17,0.53,15,1,0,1,0,2,0.06,2,0,0,0,0,0,Matches
261,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.2,38,3.71,33,0,2,1,2,3,0.29,3,0,0,0,0,0,Matches
262,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,19.1,1,0.05,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
263,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,15.9,57,3.58,43,8,2,1,3,5,0.31,4,0,0,1,0,0,Matches
264,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,1,1.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
265,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.2,2,0.89,2,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
266,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,5.3,2,0.38,1,1,0,0,0,1,0.19,0,1,0,0,0,0,Matches
267,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.4,31,2.01,25,0,1,4,1,3,0.19,1,0,0,2,0,0,Matches
268,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,6,0.94,6,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
269,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.8,31,2.09,19,7,1,2,2,2,0.13,1,0,0,1,0,0,Matches
270,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,5,0.58,5,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
271,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,17,1.00,16,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
272,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,30.2,8,0.26,7,0,0,1,0,3,0.10,3,0,0,0,0,0,Matches
273,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,28.0,39,1.39,33,1,3,0,2,2,0.07,2,0,0,0,0,0,Matches
274,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,26.3,43,1.63,35,1,0,5,2,6,0.23,5,0,0,1,0,0,Matches
275,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.1,10,3.23,4,3,2,1,0,0,0.00,0,0,0,0,0,0,Matches
276,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,168,5.76,76,53,16,7,16,12,0.41,7,4,1,0,0,0,Matches
277,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,36.0,29,0.81,27,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
278,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,21.1,133,6.30,89,13,18,3,10,29,1.37,17,2,5,0,5,0,Matches
279,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,14.4,18,1.25,16,1,0,0,1,2,0.14,2,0,0,0,0,0,Matches
280,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,29.3,103,3.52,83,0,6,3,11,12,0.41,8,0,0,1,3,0,Matches
281,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,16.8,14,0.83,12,1,0,0,1,3,0.18,1,1,0,0,1,0,Matches
282,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,11.9,31,2.61,23,3,3,0,2,2,0.17,2,0,0,0,0,0,Matches
283,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
284,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.3,9,0.55,9,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
285,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,27.2,88,3.24,69,0,12,3,4,16,0.59,12,0,2,1,1,0,Matches
286,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
287,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
288,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,8,1.09,5,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
289,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,7.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
290,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,19.2,19,0.99,17,2,0,0,0,1,0.05,0,1,0,0,0,0,Matches
291,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.2,10,0.98,10,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
292,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,38,4.51,31,3,1,2,1,2,0.24,2,0,0,0,0,0,Matches
293,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,15.6,39,2.51,36,0,2,0,1,4,0.26,4,0,0,0,0,0,Matches
294,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,5,0.64,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
295,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,29.7,66,2.22,47,0,7,8,4,6,0.20,5,0,1,0,0,0,Matches
296,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,33.6,59,1.76,50,0,3,2,4,9,0.27,5,0,0,1,3,0,Matches
297,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,22.9,27,1.18,22,0,1,3,1,2,0.09,0,0,0,2,0,0,Matches
298,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,27.0,4,0.15,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
299,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,17.7,24,1.36,14,9,0,1,0,2,0.11,1,1,0,0,0,0,Matches
300,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,24.7,89,3.60,65,10,7,2,5,8,0.32,5,1,1,0,1,0,Matches
301,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,35,1.74,26,1,5,2,1,4,0.20,3,0,1,0,0,0,Matches
302,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
303,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,32.0,58,1.81,46,6,2,2,2,2,0.06,2,0,0,0,0,0,Matches
304,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,36.1,98,2.72,58,21,6,6,7,14,0.39,9,2,1,1,1,0,Matches
305,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.6,35,1.78,25,0,1,3,5,3,0.15,2,0,0,0,0,1,Matches
306,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,21,0.66,13,1,1,6,0,2,0.06,1,0,0,1,0,0,Matches
307,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,36,2.17,33,1,1,1,0,6,0.36,5,1,0,0,0,0,Matches
308,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,8,2.47,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
309,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,3,0.30,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
310,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,11,1.51,10,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches
311,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,42,1.51,17,24,1,0,0,3,0.11,2,1,0,0,0,0,Matches
312,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,9.1,21,2.30,18,0,0,1,2,4,0.44,4,0,0,0,0,0,Matches
313,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,13,0.51,8,0,0,5,0,2,0.08,1,0,0,1,0,0,Matches
314,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.0,2,0.99,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
315,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,31.2,13,0.42,12,1,0,0,0,2,0.06,2,0,0,0,0,0,Matches
316,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,1.2,3,2.57,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
317,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,6,4.82,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
318,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,4,1.33,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
319,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,37,1.76,32,0,1,1,3,3,0.14,2,0,0,0,1,0,Matches
320,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
