,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,28,69,4,5,464,158,11,34.1,12.21,4.16,0.14,0.41,56.5,52.6,0.12,+12.5,+12.4
Bournemouth,28,55,7,9,434,152,14,35.0,11.42,4.00,0.11,0.32,53.6,46.8,0.11,+1.4,+1.2
Brighton,21,35,5,6,369,99,11,26.8,9.71,2.61,0.08,0.30,34.8,30.2,0.08,+0.2,-0.2
Burnley,23,43,2,2,360,114,15,31.7,9.47,3.00,0.11,0.36,41.4,39.9,0.12,+1.6,+1.1
Cardiff City,25,33,3,4,409,113,13,27.6,10.76,2.97,0.07,0.27,39.6,36.6,0.09,-6.6,-6.6
Chelsea,24,61,5,5,597,189,30,31.7,15.71,4.97,0.09,0.30,57.9,54.1,0.09,+3.1,+1.9
Crystal Palace,26,48,10,11,489,137,16,28.0,12.87,3.61,0.08,0.28,50.7,42.8,0.09,-2.7,-4.8
Everton,23,53,2,5,494,159,20,32.2,13.00,4.18,0.10,0.32,47.4,43.5,0.09,+5.6,+7.5
Fulham,28,33,2,3,438,138,10,31.5,11.53,3.63,0.07,0.22,39.5,37.2,0.09,-6.5,-6.2
Huddersfield,31,20,1,1,400,118,15,29.5,10.53,3.11,0.05,0.16,30.0,29.3,0.08,-10.0,-10.3
Leicester City,25,48,5,7,508,174,18,34.3,13.37,4.58,0.08,0.25,49.4,44.3,0.09,-1.4,-1.3
Liverpool,23,86,7,7,568,210,20,37.0,14.95,5.53,0.14,0.38,72.9,67.6,0.12,+13.1,+11.4
Manchester City,21,91,3,4,680,247,20,36.3,17.89,6.50,0.13,0.36,81.6,78.5,0.12,+9.4,+9.5
Manchester Utd,28,65,9,12,518,212,28,40.9,13.63,5.58,0.11,0.26,59.6,50.4,0.10,+5.4,+5.6
Newcastle Utd,24,41,1,3,433,136,17,31.4,11.39,3.58,0.09,0.29,38.8,36.5,0.09,+2.2,+3.5
Southampton,30,44,4,5,483,152,19,31.5,12.71,4.00,0.08,0.26,45.2,41.5,0.09,-1.2,-1.5
Tottenham,28,66,4,4,533,186,23,34.9,14.03,4.89,0.12,0.33,54.4,51.4,0.10,+11.6,+10.6
Watford,25,51,1,1,434,150,22,34.6,11.42,3.95,0.12,0.33,47.7,47.0,0.11,+3.3,+3.0
West Ham,26,51,5,5,437,149,17,34.1,11.50,3.92,0.11,0.31,48.4,44.7,0.11,+2.6,+1.3
Wolves,21,46,4,4,470,144,12,30.6,12.37,3.79,0.09,0.29,49.4,46.4,0.10,-3.4,-4.4
