,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,64,72,88.9,1266,433,0,1,0.0,49,54,90.7,15,17,88.2,0,0.0,0.0,0,2,0,0,4,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,147,188,78.2,2621,985,0,6,0.0,121,133,91.0,26,49,53.1,0,0.7,-0.7,5,6,7,5,30,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,361,487,74.1,8135,2892,3,12,25.0,219,260,84.2,139,215,64.7,0,0.0,0.0,0,24,2,0,30,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,37.0,1154,1525,75.7,17672,6319,35,111,31.5,986,1120,88.0,133,294,45.2,3,2.4,+0.6,26,58,44,28,163,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,20.0,557,832,66.9,10702,5106,12,40,30.0,422,516,81.8,123,276,44.6,1,0.8,+0.2,6,63,15,2,108,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.2,537,613,87.6,10263,1912,11,20,55.0,402,453,88.7,124,140,88.6,4,2.6,+1.4,25,53,20,1,53,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,155,253,61.3,2120,552,7,22,31.8,134,187,71.7,14,44,31.8,0,0.5,-0.5,4,5,10,0,23,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,22.9,556,726,76.6,8233,2024,18,51,35.3,488,588,83.0,50,87,57.5,8,3.7,+4.3,31,34,40,3,91,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,35.1,1067,1438,74.2,20093,6486,29,61,47.5,803,982,81.8,235,395,59.5,1,0.9,+0.1,11,66,11,6,90,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,4,5,80.0,81,28,0,0,,2,3,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,61,76,80.3,776,85,5,9,55.6,51,61,83.6,5,6,83.3,1,0.2,+0.8,3,1,0,0,1,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1143,1434,79.7,23194,7622,12,30,40.0,829,954,86.9,302,450,67.1,1,0.1,+0.9,2,66,2,0,73,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,558,686,81.3,9186,2754,10,38,26.3,479,545,87.9,69,103,67.0,0,0.4,-0.4,2,32,8,2,49,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,185,239,77.4,4158,1593,3,4,75.0,115,136,84.6,67,99,67.7,0,0.1,-0.1,2,23,1,0,19,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,174,221,78.7,3565,1504,4,7,57.1,124,139,89.2,46,75,61.3,0,0.0,0.0,0,24,1,1,12,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,7.8,334,387,86.3,6542,1145,10,18,55.6,252,281,89.7,72,88,81.8,0,0.2,-0.2,8,22,2,1,15,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,190,326,58.3,2802,720,11,25,44.0,157,261,60.2,22,40,55.0,1,2.3,-1.3,17,14,11,2,34,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.1,117,174,67.2,2264,615,1,5,20.0,86,110,78.2,30,59,50.8,1,0.8,+0.2,10,4,7,6,16,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,9.5,273,353,77.3,4777,1053,5,23,21.7,213,254,83.9,55,76,72.4,1,0.5,+0.5,2,27,9,2,29,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.5,210,243,86.4,2900,483,9,13,69.2,181,203,89.2,20,27,74.1,1,1.1,-0.1,13,10,11,4,18,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.0,415,560,74.1,6736,1910,9,41,22.0,349,422,82.7,57,97,58.8,2,1.7,+0.3,21,35,25,5,65,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.3,274,370,74.1,4563,1990,4,15,26.7,230,285,80.7,40,70,57.1,0,0.2,-0.2,3,23,8,3,48,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,29.5,1181,1582,74.7,19929,8714,27,87,31.0,965,1150,83.9,189,345,54.8,1,3.5,-2.5,34,103,34,16,230,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,86,106,81.1,1516,328,1,5,20.0,66,76,86.8,19,25,76.0,0,0.1,-0.1,1,6,2,0,10,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,27.8,867,1165,74.4,15762,3901,20,50,40.0,646,825,78.3,201,290,69.3,1,1.4,-0.4,16,75,16,2,88,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,13.2,510,605,84.3,9836,1816,7,16,43.8,383,437,87.6,120,152,78.9,0,0.2,-0.2,4,45,5,0,36,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,21.0,769,927,83.0,14870,5826,9,21,42.9,590,649,90.9,170,257,66.1,1,0.4,+0.6,4,35,2,0,37,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,24,35,68.6,427,175,0,1,0.0,16,22,72.7,8,12,66.7,0,0.1,-0.1,2,3,1,1,4,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,247,325,76.0,3762,1066,5,15,33.3,210,255,82.4,32,55,58.2,2,2.7,-0.7,15,18,15,3,32,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,8.7,146,222,65.8,2822,1021,5,20,25.0,106,127,83.5,35,75,46.7,4,2.2,+1.8,12,9,9,4,28,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.9,100,156,64.1,1581,637,2,7,28.6,83,109,76.1,15,40,37.5,2,0.3,+1.7,8,6,7,1,20,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,2.3,104,123,84.6,2572,778,1,2,50.0,61,68,89.7,42,53,79.2,0,0.0,0.0,0,5,0,0,2,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,101,132,76.5,2698,1554,0,0,,60,61,98.4,41,71,57.7,0,0.0,0.0,0,0,0,0,0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,2,2,100.0,13,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,4.9,107,159,67.3,1737,642,1,10,10.0,88,111,79.3,18,38,47.4,0,0.4,-0.4,4,7,9,5,25,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,7.9,239,293,81.6,3677,945,10,15,66.7,200,225,88.9,29,53,54.7,0,0.2,-0.2,3,14,2,0,13,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1144,1534,74.6,20521,7001,31,77,40.3,866,1021,84.8,247,436,56.7,7,7.5,-0.5,79,145,58,4,220,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,31.0,1357,1795,75.6,23389,8470,17,73,23.3,1126,1320,85.3,214,402,53.2,0,1.3,-1.3,18,110,21,8,144,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,625,763,81.9,9863,3368,14,32,43.8,529,600,88.2,82,131,62.6,0,0.5,-0.5,7,22,5,0,61,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,88,125,70.4,2459,1580,0,0,,55,55,100.0,33,70,47.1,0,0.0,0.0,0,0,0,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,826,953,86.7,18611,5548,7,17,41.2,527,579,91.0,292,357,81.8,1,0.3,+0.7,2,34,2,0,40,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,28.9,388,588,66.0,5835,1307,13,38,34.2,328,477,68.8,47,73,64.4,1,1.0,0.0,15,33,13,3,43,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,3,100.0,44,11,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,12.4,845,967,87.4,15257,4259,5,23,21.7,683,747,91.4,157,197,79.7,0,1.4,-1.4,12,81,18,3,83,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,26.7,865,1083,79.9,13068,2933,36,71,50.7,729,844,86.4,100,168,59.5,2,2.7,-0.7,35,71,21,1,80,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1158,1430,81.0,24229,6420,21,40,52.5,827,955,86.6,310,435,71.3,3,2.8,+0.2,19,129,9,1,137,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.8,133,206,64.6,2195,473,7,15,46.7,103,149,69.1,23,42,54.8,4,1.7,+2.3,11,11,9,2,17,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,31.4,1155,1418,81.5,17494,5719,28,77,36.4,1015,1167,87.0,112,174,64.4,2,0.9,+1.1,18,52,21,5,133,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,719,864,83.2,15703,4906,7,14,50.0,471,521,90.4,241,329,73.3,0,0.1,-0.1,1,38,3,1,44,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.0,956,1138,84.0,19043,4877,7,42,16.7,699,753,92.8,250,343,72.9,2,1.7,+0.3,26,101,28,2,106,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.2,250,342,73.1,4377,1179,6,20,30.0,204,252,81.0,40,70,57.1,1,1.0,0.0,7,24,3,0,36,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,702,865,81.2,14269,4325,7,31,22.6,503,571,88.1,192,263,73.0,1,0.8,+0.2,4,36,5,2,62,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1528,1956,78.1,26142,8359,18,73,24.7,1290,1471,87.7,220,412,53.4,3,3.6,-0.6,36,96,23,12,162,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,9,14,64.3,136,35,0,2,0.0,9,11,81.8,0,1,0.0,0,0.0,0.0,0,0,0,0,2,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.1,402,465,86.5,7247,1465,9,19,47.4,310,346,89.6,83,100,83.0,1,0.1,+0.9,3,27,2,0,20,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1166,1258,92.7,26592,6425,7,16,43.8,715,745,96.0,444,497,89.3,0,1.1,-1.1,4,79,2,0,45,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,253,322,78.6,5411,2056,3,6,50.0,175,201,87.1,75,115,65.2,0,0.0,0.0,1,20,2,0,24,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,3,3,100.0,34,7,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.7,348,437,79.6,5565,1834,16,24,66.7,284,319,89.0,48,94,51.1,0,0.5,-0.5,14,33,13,4,51,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,37.0,1509,1747,86.4,41756,14663,10,22,45.5,747,797,93.7,752,928,81.0,0,0.5,-0.5,5,115,7,0,57,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,19.8,784,1022,76.7,13808,5955,9,53,17.0,643,745,86.3,132,224,58.9,1,0.6,+0.4,8,64,11,3,113,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13.0,117,152,77.0,1620,221,10,18,55.6,91,113,80.5,16,21,76.2,1,0.3,+0.7,6,5,2,0,8,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,560,719,77.9,11160,3293,7,28,25.0,413,487,84.8,140,204,68.6,0,1.0,-1.0,13,61,11,1,70,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,26.0,986,1209,81.6,22609,7470,6,22,27.3,622,699,89.0,358,488,73.4,0,0.3,-0.3,3,49,3,0,65,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,743,933,79.6,12442,2768,34,62,54.8,586,688,85.2,123,183,67.2,0,0.7,-0.7,10,57,7,1,62,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,29.5,1203,1633,73.7,20869,10286,17,85,20.0,973,1115,87.3,213,433,49.2,0,2.0,-2.0,23,112,22,15,211,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,38,56,67.9,487,66,2,2,100.0,36,49,73.5,0,5,0.0,0,0.0,0.0,1,2,0,0,1,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,51,64,79.7,887,248,1,2,50.0,40,47,85.1,10,15,66.7,0,0.0,0.0,0,1,0,0,2,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,35,49,71.4,698,323,3,3,100.0,24,29,82.8,8,17,47.1,0,0.1,-0.1,2,4,1,1,4,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,13.1,426,511,83.4,9078,3796,6,15,40.0,308,343,89.8,112,153,73.2,1,0.4,+0.6,5,23,0,0,32,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,115,159,72.3,2054,902,0,3,0.0,93,109,85.3,22,47,46.8,1,0.2,+0.8,1,10,2,1,14,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,14.9,696,905,76.9,12536,5073,14,38,36.8,560,662,84.6,122,205,59.5,0,0.6,-0.6,8,61,8,5,87,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,21.8,631,812,77.7,12330,3782,8,35,22.9,477,565,84.4,146,212,68.9,0,0.4,-0.4,5,76,16,0,110,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,5.8,97,126,77.0,1336,151,5,10,50.0,84,106,79.2,8,10,80.0,0,0.2,-0.2,6,6,1,0,7,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,25.2,674,838,80.4,16233,5301,3,11,27.3,392,446,87.9,279,381,73.2,0,0.3,-0.3,4,50,1,0,50,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,30.0,1560,2083,74.9,32320,9828,23,81,28.4,1098,1325,82.9,439,677,64.8,20,16.8,+3.2,116,160,112,18,327,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,23.7,366,643,56.9,5610,1847,13,44,29.5,304,493,61.7,49,106,46.2,2,3.1,-1.1,25,42,22,1,63,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,676,778,86.9,14008,3540,7,16,43.8,480,522,92.0,189,240,78.8,0,0.3,-0.3,6,63,15,4,67,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,30.1,1060,1246,85.1,21661,4744,8,31,25.8,776,892,87.0,276,323,85.4,0,0.6,-0.6,7,53,4,1,56,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,603,823,73.3,10186,2555,26,73,35.6,461,558,82.6,116,192,60.4,5,4.6,+0.4,45,30,29,2,75,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,652,810,80.5,13926,3713,13,20,65.0,427,502,85.1,212,288,73.6,2,0.1,+1.9,4,50,3,0,43,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,32.9,1307,1888,69.2,24944,11018,15,79,19.0,1014,1246,81.4,278,563,49.4,7,5.4,+1.6,68,96,40,23,295,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,36.0,2630,2904,90.6,61691,17457,14,22,63.6,1634,1732,94.3,982,1150,85.4,1,1.4,-0.4,7,222,9,0,144,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,28.7,691,867,79.7,14229,5187,17,35,48.6,472,538,87.7,202,294,68.7,1,0.9,+0.1,3,49,1,0,43,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,191,264,72.3,2736,894,8,21,38.1,166,205,81.0,17,38,44.7,2,1.4,+0.6,13,11,15,2,33,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,30.9,1345,1759,76.5,22010,8852,33,85,38.8,1110,1352,82.1,202,322,62.7,3,1.8,+1.2,21,84,18,9,231,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,34.2,1239,1573,78.8,20849,4571,43,103,41.7,976,1178,82.9,220,292,75.3,2,2.6,-0.6,33,115,28,4,104,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,19,100.0,279,26,0,0,,17,17,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,11,20,55.0,183,39,0,3,0.0,10,12,83.3,1,5,20.0,0,0.0,0.0,0,0,0,0,2,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,136,167,81.4,2638,565,2,7,28.6,98,113,86.7,36,47,76.6,0,0.0,0.0,1,16,1,0,11,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,125,164,76.2,1674,187,7,14,50.0,107,125,85.6,11,25,44.0,0,0.4,-0.4,3,5,0,0,5,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37.0,584,1062,55.0,25191,18914,3,5,60.0,174,180,96.7,407,877,46.4,0,0.0,0.0,0,19,0,0,2,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,298,382,78.0,4770,1184,14,27,51.9,239,271,88.2,45,84,53.6,0,1.0,-1.0,14,17,10,2,37,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,515,613,84.0,12117,3501,5,11,45.5,311,349,89.1,199,253,78.7,0,0.0,0.0,1,26,4,0,24,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,358,502,71.3,6793,3372,3,14,21.4,283,330,85.8,72,158,45.6,0,0.1,-0.1,4,46,4,3,48,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,34.9,1882,2150,87.5,44374,13273,11,22,50.0,1191,1265,94.2,680,863,78.8,3,1.1,+1.9,10,126,5,0,95,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,33.1,881,1013,87.0,22449,12541,1,1,100.0,542,547,99.1,338,465,72.7,0,0.1,-0.1,1,11,0,0,0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,34.4,1006,1194,84.3,23957,6421,10,20,50.0,594,658,90.3,402,516,77.9,0,0.1,-0.1,1,66,2,0,73,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,12,15,80.0,204,79,0,0,,10,11,90.9,2,4,50.0,0,0.0,0.0,0,2,1,1,4,Matches
