,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1227,1558,78.8,21238,9268,16,56,28.6,1018,1172,86.9,193,330,58.5,2,3.2,-1.2,32,85,25,5,216,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,35.0,1300,1663,78.2,20078,6686,31,94,33.0,1122,1299,86.4,147,270,54.4,1,3.7,-2.7,24,44,32,13,122,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.1,285,407,70.0,4150,813,26,54,48.1,221,301,73.4,38,52,73.1,3,2.5,+0.5,18,16,5,0,32,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11.4,170,246,69.1,2696,620,10,26,38.5,139,181,76.8,21,39,53.8,2,1.4,+0.6,11,12,3,0,21,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,227,314,72.3,6825,3820,2,4,50.0,107,108,99.1,118,202,58.4,0,0.0,0.0,0,3,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,284,367,77.4,3736,781,17,38,44.7,249,306,81.4,18,23,78.3,3,2.5,+0.5,16,12,20,0,33,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,15,18,83.3,152,8,1,1,100.0,14,17,82.4,0,0,,0,0.1,-0.1,2,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1042,1183,88.1,21680,7019,9,20,45.0,725,787,92.1,308,376,81.9,2,0.6,+1.4,4,67,10,0,61,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.8,312,461,67.7,5692,2192,6,28,21.4,245,302,81.1,61,131,46.6,3,1.8,+1.2,18,27,20,9,56,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,31.9,1521,1840,82.7,36263,9474,10,26,38.5,941,1008,93.4,570,806,70.7,2,0.9,+1.1,11,128,17,1,86,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,34.2,2192,3063,71.6,48377,19314,32,118,27.1,1519,1774,85.6,641,1171,54.7,12,9.6,+2.4,83,194,87,29,446,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,26.3,737,857,86.0,20692,11432,1,1,100.0,376,379,99.2,360,477,75.5,1,0.4,+0.6,2,7,1,0,1,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,618,798,77.4,10239,2369,15,58,25.9,493,578,85.3,110,162,67.9,4,2.2,+1.8,22,41,24,0,67,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,32.8,670,875,76.6,10640,2561,22,62,35.5,553,650,85.1,95,163,58.3,2,1.6,+0.4,27,40,24,4,73,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,13.9,809,980,82.6,14142,4169,10,36,27.8,673,756,89.0,126,188,67.0,2,1.8,+0.2,24,30,29,14,95,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,564,664,84.9,8969,2604,11,28,39.3,492,553,89.0,61,83,73.5,0,0.7,-0.7,13,33,16,2,64,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,310,361,85.9,6360,1790,2,6,33.3,219,244,89.8,89,111,80.2,0,0.1,-0.1,1,14,1,0,11,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,725,934,77.6,12045,3503,21,63,33.3,596,720,82.8,108,151,71.5,4,2.9,+1.1,26,48,33,6,94,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,8,12,66.7,77,20,0,1,0.0,8,11,72.7,0,0,,0,0.0,0.0,1,0,0,0,1,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,335,426,78.6,6057,1706,4,14,28.6,266,304,87.5,65,108,60.2,0,1.2,-1.2,9,33,14,7,47,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,7,7,100.0,121,14,0,0,,6,6,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,18.3,299,466,64.2,4755,1205,13,50,26.0,240,323,74.3,46,93,49.5,3,2.7,+0.3,21,20,12,8,42,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,18.7,452,597,75.7,7081,2322,16,48,33.3,376,457,82.3,60,92,65.2,3,1.2,+1.8,16,31,24,4,66,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,32.0,849,1048,81.0,22774,11849,0,0,,488,493,99.0,361,555,65.0,0,0.0,0.0,0,1,0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,163,208,78.4,2588,560,6,14,42.9,132,150,88.0,25,44,56.8,3,1.0,+2.0,13,2,11,4,21,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,33.8,573,833,68.8,8731,2420,14,60,23.3,498,655,76.0,61,118,51.7,2,2.8,-0.8,22,23,48,14,89,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,29.0,1210,1591,76.1,20026,7102,17,79,21.5,1032,1206,85.6,161,306,52.6,5,3.0,+2.0,30,59,39,16,157,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,34.0,664,816,81.4,9389,1816,37,67,55.2,550,635,86.6,77,114,67.5,1,2.0,-1.0,24,42,21,0,46,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,33.9,2126,2661,79.9,37451,14156,36,104,34.6,1767,2022,87.4,323,535,60.4,6,6.0,0.0,42,138,59,28,272,Matches
