,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
673,Abdou Diallo\Abdou-Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,10,0.75,7,1,0,2,0,1,0.07,1,0,0,0,0,0,Matches
674,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,55,2.25,35,0,11,5,4,8,0.33,4,0,3,1,0,0,Matches
675,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,17,0.98,16,0,1,0,0,3,0.17,3,0,0,0,0,0,Matches
676,Moussa Diarra\Moussa-Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
677,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MFFW,Rennes,fr Ligue 1,23,1996,18.8,92,4.90,56,13,15,3,4,7,0.37,6,0,0,0,0,1,Matches
678,Lucas Dias\Lucas-Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
679,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,22,1997,16.9,31,1.95,29,0,0,1,1,2,0.13,2,0,0,0,0,0,Matches
680,Brahim Díaz\Brahim-Diaz,es ESP,FWMF,Real Madrid,es La Liga,19,1999,0.7,2,2.77,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
681,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,46,1.44,33,11,0,1,0,9,0.28,5,2,0,1,0,1,Matches
682,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,8,0.39,5,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
683,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,eng Premier League,25,1994,14.9,10,0.67,9,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
684,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,104,3.09,58,38,2,3,3,11,0.33,8,3,0,0,0,0,Matches
685,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,22,0.58,19,0,0,1,2,5,0.13,4,0,0,0,1,0,Matches
686,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,16,1.43,14,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
687,Javairô Dilrosun\Javairo-Dilrosun,nl NED,MFFW,Hertha BSC,de Bundesliga,21,1998,14.5,25,1.72,14,3,6,0,2,4,0.28,2,0,2,0,0,0,Matches
688,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,4.8,11,2.90,6,5,0,0,0,2,0.53,2,0,0,0,0,0,Matches
689,Federico Dimarco\Federico-Dimarco,it ITA,DFMF,Inter,it Serie A,21,1997,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
690,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,26,2.62,23,1,0,1,1,2,0.20,2,0,0,0,0,0,Matches
691,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,11,1.49,6,1,2,0,2,1,0.14,0,0,1,0,0,0,Matches
692,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,9,0.29,6,1,0,2,0,1,0.03,1,0,0,0,0,0,Matches
693,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,27,1.08,25,0,0,1,1,1,0.04,1,0,0,0,0,0,Matches
694,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,2,1.50,2,0,0,0,0,1,0.75,1,0,0,0,0,0,Matches
695,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,17,0.63,16,1,0,0,0,1,0.04,0,1,0,0,0,0,Matches
696,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,2,0.27,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
697,Djené\Djene,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,10,0.29,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
698,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,eng Premier League,21,1998,10.3,39,3.78,19,0,11,1,8,6,0.58,3,0,2,0,1,0,Matches
699,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,26,1992,8.5,1,0.13,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
700,Alexander Djiku\Alexander-Djiku,fr FRA,DFMF,Strasbourg,fr Ligue 1,24,1994,22.9,14,0.61,13,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
701,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,29.9,26,0.88,22,1,0,3,0,1,0.03,0,0,0,1,0,0,Matches
702,Naïs Djouahra\Nais-Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,3,9.31,2,0,1,0,0,1,3.10,1,0,0,0,0,0,Matches
703,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,8,0.23,2,5,0,1,0,0,0.00,0,0,0,0,0,0,Matches
704,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,64,2.03,48,1,6,7,2,15,0.48,7,0,3,4,1,0,Matches
705,Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,26,1.24,14,0,3,4,5,6,0.29,3,0,1,1,1,0,Matches
706,Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,6,3.65,4,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
707,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,1,0.07,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
708,Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,it Serie A,21,1998,7.6,18,2.62,17,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
709,Giulio Donati\Giulio-Donati,it ITA,DF,Lecce,it Serie A,29,1990,18.6,35,1.99,28,2,1,2,2,5,0.28,2,1,0,1,1,0,Matches
710,Ji Dong-won\Ji-Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
711,Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Reims,fr Ligue 1,22,1996,6.8,12,1.77,5,1,4,2,0,0,0.00,0,0,0,0,0,0,Matches
712,Alfredo Donnarumma\Alfredo-Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.6,42,2.26,30,0,4,2,6,5,0.27,4,0,0,0,1,0,Matches
713,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,34.6,1,0.03,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
714,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,14,0.60,11,1,0,1,1,1,0.04,1,0,0,0,0,0,Matches
715,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,MFFW,Toulouse,fr Ligue 1,31,1988,19.5,73,3.75,41,24,6,1,1,4,0.21,4,0,0,0,0,0,Matches
716,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,41,2.50,33,0,2,3,3,6,0.37,4,0,1,1,0,0,Matches
717,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,80,2.28,59,0,10,8,3,6,0.17,4,0,0,2,0,0,Matches
718,Mamadou Doucouré\Mamadou-Doucoure,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
719,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,24,1994,19.1,58,3.04,41,2,5,3,7,3,0.16,1,0,1,0,1,0,Matches
720,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
721,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,7,1.40,5,0,2,0,0,2,0.40,2,0,0,0,0,0,Matches
722,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,eng Premier League,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
723,Mohamed Dräger\Mohamed-Drager,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,26,1.61,18,4,1,2,1,5,0.31,4,0,0,1,0,0,Matches
724,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,12,1.05,12,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
725,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,7,0.23,5,2,0,0,0,1,0.03,1,0,0,0,0,0,Matches
726,Julian Draxler\Julian-Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,21,2.76,15,2,2,1,0,8,1.05,4,1,1,1,0,1,Matches
727,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,de Bundesliga,29,1990,17.6,56,3.18,45,4,3,1,3,6,0.34,5,0,0,0,1,0,Matches
728,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,4,1.39,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
729,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
730,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,eng Premier League,26,1992,7.2,11,1.53,7,0,1,2,1,1,0.14,0,0,1,0,0,0,Matches
731,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,5,0.15,4,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
732,Léo Duarte\Leo-Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.4,1,0.23,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
733,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,4,0.74,3,0,0,1,0,1,0.19,1,0,0,0,0,0,Matches
734,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,36,1.22,24,3,0,4,5,6,0.20,2,1,0,1,2,0,Matches
735,Edgaras Dubickas\Edgaras-Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
736,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,24,1.60,21,1,1,0,1,1,0.07,1,0,0,0,0,0,Matches
737,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,2,0.05,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
738,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,25,3.11,15,6,1,2,1,2,0.25,1,0,0,1,0,0,Matches
739,Ondrej Duda\Ondrej-Duda,sk SVK,MFFW,Hertha BSC,de Bundesliga,24,1994,5.0,17,3.42,10,1,3,2,1,2,0.40,2,0,0,0,0,0,Matches
740,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,5,0.36,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
741,Haris Duljević\Haris-Duljevic,ba BIH,FWMF,Nîmes,fr Ligue 1,25,1993,5.8,24,4.15,20,0,3,1,0,6,1.04,5,0,1,0,0,0,Matches
742,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,6,0.44,5,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches
743,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,8.9,17,2.01,14,0,1,0,2,2,0.24,1,0,0,0,1,0,Matches
744,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,27,2.88,27,0,0,0,0,6,0.64,6,0,0,0,0,0,Matches
745,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,25,0.70,23,2,0,0,0,3,0.08,3,0,0,0,0,0,Matches
746,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,9,1.59,6,0,1,2,0,1,0.18,1,0,0,0,0,0,Matches
747,Riza Durmisi\Riza-Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
748,Hugo Duro\Hugo-Duro,es ESP,FWMF,Getafe,es La Liga,19,1999,4.2,7,1.67,3,0,0,0,4,2,0.48,1,0,0,0,1,0,Matches
749,Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,11,0.84,9,0,1,0,0,2,0.15,1,0,0,0,0,1,Matches
750,Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,Juventus,it Serie A,25,1993,23.9,149,6.22,96,18,15,7,12,24,1.00,10,2,5,2,4,1,Matches
751,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,33,1986,31.7,107,3.48,76,1,12,9,9,17,0.55,11,0,1,2,3,0,Matches
752,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,29,3.74,26,1,0,0,2,1,0.13,1,0,0,0,0,0,Matches
753,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,11,0.39,8,0,0,3,0,1,0.04,0,0,0,1,0,0,Matches
754,Simone Edera\Simone-Edera,it ITA,MFFW,Torino,it Serie A,22,1997,4.4,17,3.84,6,6,1,2,2,2,0.45,1,0,0,1,0,0,Matches
755,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,4,0.12,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
756,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,6,0.17,3,0,0,3,0,1,0.03,0,0,0,1,0,0,Matches
757,Johannes Eggestein\Johannes-Eggestein,de GER,MFFW,Werder Bremen,de Bundesliga,21,1998,5.7,11,1.94,7,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches
758,Maximilian Eggestein\Maximilian-Eggestein,de GER,MFDF,Werder Bremen,de Bundesliga,22,1996,31.7,67,2.11,53,0,5,7,2,6,0.19,5,0,0,1,0,0,Matches
759,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,39,1.51,27,4,5,1,2,4,0.15,3,0,1,0,0,0,Matches
760,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,56,2.11,49,0,0,2,5,7,0.26,4,0,0,0,3,0,Matches
761,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
762,Elif Elmas\Elif-Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,12.5,39,3.38,28,0,5,2,3,3,0.26,2,0,0,0,0,1,Matches
763,Ilay Elmkies\Ilay-Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
764,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,28,2.44,27,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches
765,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,10,0.60,8,0,0,1,1,3,0.18,2,0,0,1,0,0,Matches
766,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22,1996,29.1,8,0.28,7,0,0,1,0,1,0.03,1,0,0,0,0,0,Matches
767,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,2,0.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
768,Adri Embarba\Adri-Embarba,es ESP,MFFW,Espanyol,es La Liga,27,1992,15.2,33,2.17,17,5,4,2,5,4,0.26,4,0,0,0,0,0,Matches
769,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,de Bundesliga,22,1997,17.2,56,3.25,35,0,5,6,9,11,0.64,7,0,0,1,2,1,Matches
770,Emerson\Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,57,1.81,47,0,3,2,5,8,0.25,6,0,1,0,1,0,Matches
771,Renaud Emond\Renaud-Emond,be BEL,FWMF,Nantes,fr Ligue 1,27,1991,3.2,6,1.85,3,0,0,0,2,1,0.31,0,0,0,0,0,1,Matches
772,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,4,0.42,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
773,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,22,1.43,14,0,2,3,3,4,0.26,3,0,0,1,0,0,Matches
774,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,6,0.68,5,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
775,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,6,0.37,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
776,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,19,0.92,12,0,1,3,3,5,0.24,3,0,0,1,1,0,Matches
777,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,29,1990,9.1,14,1.55,9,3,0,0,2,0,0.00,0,0,0,0,0,0,Matches
778,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,27,1992,12.2,40,3.28,31,8,1,0,0,3,0.25,2,1,0,0,0,0,Matches
779,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,36,4.63,24,9,1,1,1,6,0.77,5,0,0,1,0,0,Matches
780,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,17,0.91,10,1,1,1,4,3,0.16,1,0,0,0,2,0,Matches
781,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
782,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,12,1.40,9,0,2,1,0,1,0.12,0,0,0,1,0,0,Matches
783,Espeto\Espeto,br BRA,DFMF,SPAL,it Serie A,22,1997,23.1,61,2.75,40,1,10,6,4,4,0.18,2,0,0,2,0,0,Matches
784,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,8,0.32,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
785,Sebastiano Esposito\Sebastiano-Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,6,2.71,4,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
786,Esquerdo\Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
787,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,29,1990,2.4,4,1.69,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
788,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,75,2.27,64,6,3,2,0,10,0.30,7,2,0,1,0,0,Matches
789,Oghenekaro Etebo\Oghenekaro-Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,7,1.10,6,0,0,1,0,1,0.16,1,0,0,0,0,0,Matches
790,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,12,2.74,2,10,0,0,0,1,0.23,1,0,0,0,0,0,Matches
791,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,5,0.31,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
792,Antony Evans\Antony-Evans,eng ENG,MFDF,Paderborn 07,de Bundesliga,20,1998,1.7,8,4.62,4,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
793,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,22,0.59,17,0,1,3,1,4,0.11,3,0,0,0,1,0,Matches
794,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,42,1.63,31,0,3,6,2,3,0.12,2,0,0,1,0,0,Matches
795,Valentin Eysseric\Valentin-Eysseric,fr FRA,FW,Hellas Verona,it Serie A,27,1992,2.9,8,4.11,5,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
796,Valentin Eysseric\Valentin-Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,4,8.57,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
797,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
798,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,32,1.39,30,0,1,0,1,3,0.13,3,0,0,0,0,0,Matches
799,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,13,1.40,12,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
800,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,44,4.26,35,8,1,0,0,8,0.77,7,1,0,0,0,0,Matches
801,Fabricio\Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
802,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
803,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,18,4.02,12,6,0,0,0,0,0.00,0,0,0,0,0,0,Matches
804,Luca Falbo\Luca-Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
805,Filippo Falco\Filippo-Falco,it ITA,FWMF,Lecce,it Serie A,27,1992,21.7,113,5.46,82,13,6,7,5,12,0.58,6,4,0,2,0,0,Matches
806,Eliseo Falcon\Eliseo-Falcon,es ESP,DFMF,Levante,es La Liga,22,1997,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
807,Wladimiro Falcone\Wladimiro-Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,1.0,,,,,,,,,,,,,,,,Matches
808,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,2,2.00,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
809,Iago Falque\Iago-Falque,es ESP,MFFW,Torino,it Serie A,29,1990,1.1,3,2.65,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
810,Iago Falque\Iago-Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.8,17,3.06,14,1,1,1,0,1,0.18,1,0,0,0,0,0,Matches
811,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
812,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.4,3,2.81,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
813,Paolo Faragò\Paolo-Farago,it ITA,DF,Cagliari,it Serie A,26,1993,13.9,25,1.93,20,4,0,0,1,2,0.15,2,0,0,0,0,0,Matches
814,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,34.9,56,1.65,40,8,3,3,2,4,0.12,3,1,0,0,0,0,Matches
815,Mohamed Fares\Mohamed-Fares,dz ALG,MFDF,SPAL,it Serie A,23,1996,3.8,4,1.21,4,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
816,Diego Farias\Diego-Farias,br BRA,FWMF,Lecce,it Serie A,29,1990,9.2,37,4.04,26,3,5,1,2,4,0.44,1,0,1,0,2,0,Matches
817,Ansu Fati\Ansu-Fati,es ESP,FWDF,Barcelona,es La Liga,16,2002,11.4,38,3.33,24,2,7,2,3,3,0.26,1,0,2,0,0,0,Matches
818,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22.0,54,2.45,43,8,0,2,1,6,0.27,3,2,0,1,0,0,Matches
819,Andrea Favilli\Andrea-Favilli,it ITA,FW,Genoa,it Serie A,22,1997,7.3,12,1.69,10,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
820,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,32,1987,12.5,7,0.56,6,1,0,0,0,3,0.24,2,1,0,0,0,0,Matches
821,Aleix Febas\Aleix-Febas,es ESP,MF,Mallorca,es La Liga,23,1996,18.8,42,2.24,35,0,1,0,6,5,0.27,4,0,0,0,1,0,Matches
822,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,30,1989,15.9,13,0.82,11,0,0,2,0,4,0.25,3,0,0,1,0,0,Matches
823,Ljubomir Fejsa\Ljubomir-Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,8.7,3,0.34,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
824,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,26,1993,29.3,111,3.79,68,2,16,11,14,11,0.38,6,0,0,1,4,0,Matches
825,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,23.4,12,0.51,6,0,1,5,0,2,0.09,0,0,0,2,0,0,Matches
