,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
172,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,4,0.31,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
173,Keita Baldé\Keita-Balde,sn SEN,FWMF,Monaco,fr Ligue 1,24,1995,9.5,22,2.31,15,0,2,2,3,5,0.52,3,0,0,1,1,0,Matches
174,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,38.0,65,1.71,52,4,6,0,3,6,0.16,4,0,1,0,1,0,Matches
175,Gareth Bale\Gareth-Bale,wal WAL,FWMF,Real Madrid,es La Liga,30,1989,12.1,33,2.73,21,2,5,3,2,7,0.58,6,0,0,1,0,0,Matches
176,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,2,0.32,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
177,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20,1999,1.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
178,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
179,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,22,1997,18.7,26,1.39,17,3,3,1,2,0,0.00,0,0,0,0,0,0,Matches
180,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,9,2.02,5,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
181,Mario Balotelli\Mario-Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,33,2.12,17,0,2,8,6,1,0.06,1,0,0,0,0,0,Matches
182,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,3,0.49,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
183,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,fr Ligue 1,23,1996,21.5,76,3.53,45,12,8,7,4,7,0.33,5,0,0,1,1,0,Matches
184,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,27.5,115,4.18,67,37,3,2,6,12,0.44,7,3,1,0,1,0,Matches
185,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,25,1993,24.5,8,0.33,8,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
186,Antonín Barák\Antonin-Barak,cz CZE,MF,Udinese,it Serie A,24,1994,2.2,6,2.78,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
