,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
442,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,11.4,0,0,0,18,5,0,27.8,1.58,0.44,0.00,0.00,1.5,1.5,0.08,-1.5,-1.5,Matches
443,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,11.1,0,0,0,6,1,0,16.7,0.54,0.09,0.00,0.00,0.6,0.6,0.11,-0.6,-0.6,Matches
444,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,0,0,0,1,1,0,100.0,1.29,1.29,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1,Matches
445,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
446,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,0,0,0,1,0,0,0.0,0.38,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
447,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
448,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,0,0,0,3,1,0,33.3,0.51,0.17,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
449,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,21.9,1,0,0,7,4,1,57.1,0.32,0.18,0.14,0.25,0.4,0.4,0.06,+0.6,+0.6,Matches
450,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,34.0,2,0,0,17,4,0,23.5,0.50,0.12,0.12,0.50,2.1,2.1,0.13,-0.1,-0.1,Matches
451,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,20.3,0,0,0,1,0,0,0.0,0.05,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
452,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,10.7,0,0,0,3,0,0,0.0,0.28,0.00,0.00,,0.2,0.2,0.07,-0.2,-0.2,Matches
453,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,0,0,0,1,1,0,100.0,30.00,30.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1,Matches
454,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,23.1,1,0,0,22,3,0,13.6,0.95,0.13,0.05,0.33,0.8,0.8,0.03,+0.2,+0.2,Matches
455,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
456,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,27.9,3,0,0,47,11,0,23.4,1.69,0.39,0.06,0.27,2.5,2.5,0.05,+0.5,+0.5,Matches
