,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
749,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,33,1986,30.7,15,0,0,123,45,0,36.6,4.01,1.47,0.12,0.33,17.7,17.7,0.15,-2.7,-2.7,Matches
750,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,1,0,0,16,4,0,25.0,2.06,0.52,0.06,0.25,0.6,0.6,0.04,+0.4,+0.4,Matches
751,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,0,0,0,17,0,0,0.0,0.61,0.00,0.00,,1.2,1.2,0.07,-1.2,-1.2,Matches
752,Simone Edera\Simone-Edera,it ITA,MFFW,Torino,it Serie A,22,1997,4.4,1,0,0,14,7,1,50.0,3.17,1.58,0.07,0.14,0.9,0.9,0.07,+0.1,+0.1,Matches
753,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
754,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,2,0,0,28,5,0,17.9,0.79,0.14,0.07,0.40,2.4,2.4,0.09,-0.4,-0.4,Matches
755,Johannes Eggestein\Johannes-Eggestein,de GER,MFFW,Werder Bremen,de Bundesliga,21,1998,5.7,1,0,0,15,6,0,40.0,2.65,1.06,0.07,0.17,1.0,1.0,0.06,0.0,0.0,Matches
756,Maximilian Eggestein\Maximilian-Eggestein,de GER,MFDF,Werder Bremen,de Bundesliga,22,1996,31.7,1,0,0,42,11,0,26.2,1.32,0.35,0.02,0.09,2.7,2.7,0.07,-1.7,-1.7,Matches
757,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,1,0,0,12,4,0,33.3,0.46,0.15,0.08,0.25,0.9,0.9,0.08,+0.1,+0.1,Matches
758,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,0,0,0,17,2,0,11.8,0.64,0.08,0.00,0.00,1.5,1.5,0.09,-1.5,-1.5,Matches
759,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
760,Elif Elmas\Elif-Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,11.5,1,0,0,20,8,0,40.0,1.74,0.69,0.05,0.13,1.8,1.8,0.09,-0.8,-0.8,Matches
761,Ilay Elmkies\Ilay-Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
762,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,1,0,0,5,1,0,20.0,0.44,0.09,0.20,1.00,0.3,0.3,0.05,+0.7,+0.7,Matches
763,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,0,0,0,8,1,0,12.5,0.48,0.06,0.00,0.00,0.8,0.8,0.10,-0.8,-0.8,Matches
764,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22,1996,29.1,1,0,0,8,1,0,12.5,0.28,0.03,0.13,1.00,0.8,0.8,0.10,+0.2,+0.2,Matches
765,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,2,0,0,6,3,0,50.0,0.25,0.13,0.33,0.67,0.7,0.7,0.12,+1.3,+1.3,Matches
766,Adri Embarba\Adri-Embarba,es ESP,MFFW,Espanyol,es La Liga,27,1992,15.2,2,1,1,37,14,12,37.8,2.43,0.92,0.03,0.07,3.0,2.3,0.06,-1.0,-1.3,Matches
767,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,de Bundesliga,22,1997,17.2,8,0,1,44,18,0,40.9,2.55,1.05,0.18,0.44,8.8,8.0,0.19,-0.8,0.0,Matches
768,Emerson\Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,3,0,0,23,4,0,17.4,0.73,0.13,0.13,0.75,1.4,1.4,0.06,+1.6,+1.6,Matches
769,Renaud Emond\Renaud-Emond,be BEL,FWMF,Nantes,fr Ligue 1,27,1991,3.2,0,0,0,4,1,0,25.0,1.23,0.31,0.00,0.00,0.9,0.9,0.23,-0.9,-0.9,Matches
770,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,0,0,0,2,0,0,0.0,0.21,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
771,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,4,0,0,39,18,0,46.2,2.53,1.17,0.10,0.22,3.9,3.9,0.10,+0.1,+0.1,Matches
772,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,4,0,0,21,8,0,38.1,2.37,0.90,0.19,0.50,4.2,4.2,0.20,-0.2,-0.2,Matches
773,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,1,0,0,7,1,0,14.3,0.44,0.06,0.14,1.00,0.9,0.9,0.12,+0.1,+0.1,Matches
774,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,1,0,0,30,6,0,20.0,1.45,0.29,0.03,0.17,2.7,2.7,0.09,-1.7,-1.7,Matches
775,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,29,1990,9.1,0,0,0,10,4,1,40.0,1.10,0.44,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
776,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,27,1992,12.2,2,0,0,26,9,7,34.6,2.13,0.74,0.08,0.22,2.0,2.0,0.08,0.0,0.0,Matches
777,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,1,0,0,24,8,4,33.3,3.09,1.03,0.04,0.13,2.5,2.5,0.13,-1.5,-1.5,Matches
778,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,0,0,0,23,5,0,21.7,1.24,0.27,0.00,0.00,1.6,1.6,0.07,-1.6,-1.6,Matches
779,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
780,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,1,0,0,8,6,0,75.0,0.93,0.70,0.13,0.17,0.6,0.6,0.08,+0.4,+0.4,Matches
781,Espeto\Espeto,br BRA,DFMF,SPAL,it Serie A,22,1997,22.2,1,0,0,51,11,0,21.6,2.30,0.50,0.02,0.09,2.6,2.6,0.05,-1.6,-1.6,Matches
782,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,3,0,0,22,8,0,36.4,0.88,0.32,0.14,0.38,2.1,2.1,0.10,+0.9,+0.9,Matches
783,Sebastiano Esposito\Sebastiano-Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,1,1,1,10,3,1,30.0,4.52,1.36,0.00,0.00,1.7,0.9,0.09,-0.7,-0.9,Matches
784,Esquerdo\Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
785,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,29,1990,2.4,0,0,0,2,1,0,50.0,0.85,0.42,0.00,0.00,0.3,0.3,0.17,-0.3,-0.3,Matches
786,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,1,0,0,18,3,1,16.7,0.54,0.09,0.06,0.33,1.4,1.4,0.08,-0.4,-0.4,Matches
787,Oghenekaro Etebo\Oghenekaro-Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,1,0,0,9,3,0,33.3,1.42,0.47,0.11,0.33,0.6,0.6,0.06,+0.4,+0.4,Matches
788,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,0,0,0,5,2,0,40.0,1.14,0.46,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
789,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,0,0,0,7,2,0,28.6,0.44,0.12,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,Matches
790,Antony Evans\Antony-Evans,eng ENG,MFDF,Paderborn 07,de Bundesliga,20,1998,1.7,0,0,0,2,1,0,50.0,1.15,0.58,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
791,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,1,0,0,24,10,0,41.7,0.64,0.27,0.04,0.10,2.6,2.6,0.11,-1.6,-1.6,Matches
792,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,4,1,2,33,16,0,48.5,1.28,0.62,0.09,0.19,2.9,1.3,0.04,+1.1,+1.7,Matches
793,Valentin Eysseric\Valentin-Eysseric,fr FRA,FW,Hellas Verona,it Serie A,27,1992,1.9,0,0,0,1,0,0,0.0,0.51,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
794,Valentin Eysseric\Valentin-Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,0,0,0,2,1,0,50.0,4.29,2.14,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
795,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
796,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,2,0,0,12,4,2,33.3,0.52,0.17,0.17,0.50,0.4,0.4,0.03,+1.6,+1.6,Matches
797,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,0,0,0,4,0,0,0.0,0.43,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
798,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,0,0,0,9,1,1,11.1,0.87,0.10,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
799,Fabricio\Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
800,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
801,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,0,0,0,8,2,2,25.0,1.79,0.45,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
802,Luca Falbo\Luca-Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
803,Filippo Falco\Filippo-Falco,it ITA,FWMF,Lecce,it Serie A,27,1992,20.7,4,0,0,50,19,5,38.0,2.41,0.92,0.08,0.21,2.7,2.7,0.05,+1.3,+1.3,Matches
804,Eliseo Falcon\Eliseo-Falcon,es ESP,DFMF,Levante,es La Liga,22,1997,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
805,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
806,Iago Falque\Iago-Falque,es ESP,MFFW,Torino,it Serie A,29,1990,1.1,0,0,0,3,2,0,66.7,2.65,1.76,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2,Matches
807,Iago Falque\Iago-Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.6,2,2,3,12,2,2,16.7,2.16,0.36,0.00,0.00,3.0,0.8,0.06,-1.0,-0.8,Matches
808,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
809,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.1,0,0,0,1,0,0,0.0,0.94,0.00,0.00,,0.1,0.1,0.08,-0.1,-0.1,Matches
810,Paolo Faragò\Paolo-Farago,it ITA,DF,Cagliari,it Serie A,26,1993,12.9,1,0,0,12,3,0,25.0,0.93,0.23,0.08,0.33,1.5,1.5,0.12,-0.5,-0.5,Matches
811,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,33.9,4,0,0,40,11,0,27.5,1.18,0.32,0.10,0.36,4.3,4.3,0.11,-0.3,-0.3,Matches
812,Mohamed Fares\Mohamed-Fares,dz ALG,MFDF,SPAL,it Serie A,23,1996,3.3,0,0,0,4,1,0,25.0,1.21,0.30,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
813,Diego Farias\Diego-Farias,br BRA,FWMF,Lecce,it Serie A,29,1990,9.2,2,0,0,23,6,0,26.1,2.51,0.66,0.09,0.33,1.7,1.7,0.07,+0.3,+0.3,Matches
814,Ansu Fati\Ansu-Fati,es ESP,FWDF,Barcelona,es La Liga,16,2002,11.4,7,0,0,33,12,0,36.4,2.89,1.05,0.21,0.58,3.8,3.8,0.11,+3.2,+3.2,Matches
815,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22.0,2,0,0,10,5,0,50.0,0.45,0.23,0.20,0.40,0.6,0.6,0.06,+1.4,+1.4,Matches
816,Andrea Favilli\Andrea-Favilli,it ITA,FW,Genoa,it Serie A,22,1997,7.1,0,0,0,12,3,0,25.0,1.69,0.42,0.00,0.00,1.6,1.6,0.14,-1.6,-1.6,Matches
817,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,32,1987,12.5,1,0,0,4,1,0,25.0,0.32,0.08,0.25,1.00,0.4,0.4,0.10,+0.6,+0.6,Matches
818,Aleix Febas\Aleix-Febas,es ESP,MF,Mallorca,es La Liga,23,1996,18.8,0,0,0,8,3,0,37.5,0.43,0.16,0.00,0.00,0.6,0.6,0.07,-0.6,-0.6,Matches
819,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,30,1989,15.9,1,0,0,9,3,0,33.3,0.57,0.19,0.11,0.33,0.7,0.7,0.08,+0.3,+0.3,Matches
820,Ljubomir Fejsa\Ljubomir-Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,8.7,0,0,0,1,0,0,0.0,0.11,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
821,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,26,1993,29.3,7,1,1,101,40,8,39.6,3.45,1.36,0.06,0.15,7.3,6.5,0.06,-0.3,-0.5,Matches
822,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,23.4,1,0,0,20,5,0,25.0,0.86,0.21,0.05,0.20,1.3,1.3,0.06,-0.3,-0.3,Matches
823,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,22,1997,20.6,1,0,0,8,1,0,12.5,0.39,0.05,0.13,1.00,0.5,0.5,0.07,+0.5,+0.5,Matches
824,Lucas Felippe\Lucas-Felippe,br BRA,MFDF,Hellas Verona,it Serie A,19,2000,0.3,0,0,0,1,0,0,0.0,3.21,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
825,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,21,1997,21.8,0,0,0,5,0,0,0.0,0.23,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
826,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,19,1999,19.4,6,0,0,64,18,2,28.1,3.30,0.93,0.09,0.33,7.8,7.8,0.12,-1.8,-1.8,Matches
827,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,28,1991,24.9,0,0,0,5,1,0,20.0,0.20,0.04,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
828,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,26,1993,25.0,3,0,0,46,14,3,30.4,1.84,0.56,0.07,0.21,3.4,3.4,0.07,-0.4,-0.4,Matches
829,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,24,1994,13.2,8,4,4,40,14,7,35.0,3.04,1.06,0.10,0.29,5.9,2.8,0.07,+2.1,+1.2,Matches
830,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,23,1996,16.5,1,0,0,22,2,0,9.1,1.33,0.12,0.05,0.50,0.7,0.7,0.03,+0.3,+0.3,Matches
831,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,eng Premier League,20,1999,0.8,0,0,0,2,0,0,0.0,2.65,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
832,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,32,1986,8.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
833,Matheus Fernandes\Matheus-Fernandes,br BRA,MF,Valladolid,es La Liga,21,1998,1.8,0,0,0,3,0,,0.0,1.63,0.00,0.00,,,,,,,Matches
834,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,28,1991,36.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
835,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,32,1986,4.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
836,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Granada,es La Liga,23,1996,24.5,10,1,1,45,18,3,40.0,1.84,0.74,0.20,0.50,8.5,7.7,0.17,+1.5,+1.3,Matches
837,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,30,1989,29.1,2,0,0,16,6,0,37.5,0.55,0.21,0.13,0.33,1.6,1.6,0.10,+0.4,+0.4,Matches
838,Gabriel Fernández\Gabriel-Fernandez,uy URU,FWMF,Celta Vigo,es La Liga,25,1994,6.2,1,0,0,7,3,0,42.9,1.12,0.48,0.14,0.33,1.0,1.0,0.14,0.0,0.0,Matches
839,Joaquín Fernández\Joaquin-Fernandez,es ESP,MFDF,Valladolid,es La Liga,23,1996,18.4,2,0,0,10,4,0,40.0,0.54,0.22,0.20,0.50,0.9,0.9,0.09,+1.1,+1.1,Matches
840,Fernandinho\Fernandinho,br BRA,DF,Manchester City,eng Premier League,34,1985,26.6,0,0,0,17,2,0,11.8,0.64,0.08,0.00,0.00,1.1,1.1,0.07,-1.1,-1.1,Matches
841,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,29.5,2,0,0,14,6,0,42.9,0.47,0.20,0.14,0.33,2.3,2.3,0.16,-0.3,-0.3,Matches
842,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,24,1995,13.4,1,0,0,18,6,1,33.3,1.35,0.45,0.06,0.17,1.6,1.6,0.09,-0.6,-0.6,Matches
843,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1994,11.2,0,0,0,4,1,0,25.0,0.36,0.09,0.00,0.00,0.5,0.5,0.11,-0.5,-0.5,Matches
844,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Espanyol,es La Liga,28,1991,6.4,1,0,0,7,6,0,85.7,1.10,0.94,0.14,0.17,1.2,1.2,0.17,-0.2,-0.2,Matches
845,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,27,1992,12.8,0,0,0,11,4,0,36.4,0.86,0.31,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
846,Oliver Fink\Oliver-Fink,de GER,MFFW,Düsseldorf,de Bundesliga,37,1982,7.5,0,0,0,10,0,0,0.0,1.33,0.00,0.00,,0.8,0.8,0.08,-0.8,-0.8,Matches
847,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,30,1989,10.7,3,1,1,18,7,0,38.9,1.68,0.65,0.11,0.29,4.6,3.9,0.22,-1.6,-1.9,Matches
848,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,27,1991,33.2,9,0,0,100,37,0,37.0,3.01,1.11,0.09,0.24,13.6,13.6,0.14,-4.6,-4.6,Matches
849,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,22,1996,11.3,1,0,0,4,1,0,25.0,0.36,0.09,0.25,1.00,0.6,0.6,0.15,+0.4,+0.4,Matches
850,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,27,1991,28.0,5,0,0,32,12,0,37.5,1.14,0.43,0.16,0.42,3.4,3.4,0.11,+1.6,+1.6,Matches
851,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
852,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,37,1981,10.5,1,0,0,17,5,0,29.4,1.62,0.48,0.06,0.20,1.3,1.3,0.08,-0.3,-0.3,Matches
853,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,28,1991,11.1,0,0,0,14,2,0,14.3,1.26,0.18,0.00,0.00,0.6,0.6,0.04,-0.6,-0.6,Matches
854,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Valencia,es La Liga,28,1991,8.4,0,0,0,8,1,0,12.5,0.96,0.12,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
855,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,19,2000,10.0,5,0,0,34,14,0,41.2,3.40,1.40,0.15,0.36,3.9,3.9,0.12,+1.1,+1.1,Matches
856,Mamadou Fofana\Mamadou-Fofana,ml MLI,DFMF,Metz,fr Ligue 1,21,1998,17.6,0,0,0,10,0,0,0.0,0.57,0.00,0.00,,0.4,0.4,0.04,-0.4,-0.4,Matches
857,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,24,1995,23.9,3,0,0,44,13,0,29.5,1.84,0.54,0.07,0.23,2.6,2.6,0.06,+0.4,+0.4,Matches
858,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2000,13.5,1,0,0,6,1,0,16.7,0.44,0.07,0.17,1.00,0.8,0.8,0.13,+0.2,+0.2,Matches
859,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,11.2,1,0,0,15,4,0,26.7,1.34,0.36,0.07,0.25,0.9,0.9,0.06,+0.1,+0.1,Matches
860,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,20,1999,6.8,0,0,0,7,2,0,28.6,1.03,0.30,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
861,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,24,1994,27.0,0,0,0,8,1,0,12.5,0.30,0.04,0.00,0.00,0.7,0.7,0.08,-0.7,-0.7,Matches
862,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,15.3,0,0,0,14,3,0,21.4,0.92,0.20,0.00,0.00,1.2,1.2,0.08,-1.2,-1.2,Matches
863,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,35,1983,24.5,1,0,0,18,6,0,33.3,0.73,0.24,0.06,0.17,2.1,2.1,0.11,-1.1,-1.1,Matches
864,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,eng Premier League,23,1996,24.1,2,0,0,37,12,0,32.4,1.53,0.50,0.05,0.17,3.0,3.0,0.08,-1.0,-1.0,Matches
865,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,27,1991,12.7,5,2,2,24,8,3,33.3,1.89,0.63,0.13,0.38,4.1,2.6,0.11,+0.9,+0.4,Matches
866,Hernâni Fortes\Hernani-Fortes,pt POR,MFFW,Levante,es La Liga,27,1991,7.3,2,0,0,22,9,0,40.9,3.03,1.24,0.09,0.22,1.5,1.5,0.07,+0.5,+0.5,Matches
867,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38.0,0,0,0,1,1,0,100.0,0.03,0.03,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
868,Lyle Foster\Lyle-Foster,za RSA,FW,Monaco,fr Ligue 1,18,2000,0.7,0,0,0,2,0,0,0.0,2.90,0.00,0.00,,0.2,0.2,0.12,-0.2,-0.2,Matches
869,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,21,1998,1.5,0,0,0,1,0,0,0.0,0.66,0.00,0.00,,0.1,0.1,0.07,-0.1,-0.1,Matches
870,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,eng Premier League,26,1993,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
871,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,26,1993,12.4,1,0,0,5,2,0,40.0,0.40,0.16,0.20,0.50,0.2,0.2,0.05,+0.8,+0.8,Matches
872,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,21,1998,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
873,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,23,1995,13.1,0,0,0,1,0,0,0.0,0.08,0.00,0.00,,0.3,0.3,0.28,-0.3,-0.3,Matches
874,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,34,1985,10.8,0,0,0,3,0,0,0.0,0.28,0.00,0.00,,0.2,0.2,0.06,-0.2,-0.2,Matches
875,Mike Frantz\Mike-Frantz,de GER,MFDF,Freiburg,de Bundesliga,32,1986,3.9,0,0,0,3,0,0,0.0,0.77,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
876,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,25,1994,23.0,1,0,0,27,12,2,44.4,1.18,0.52,0.04,0.08,3.3,3.3,0.12,-2.3,-2.3,Matches
877,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,26,1993,24.0,0,0,0,40,10,3,25.0,1.66,0.42,0.00,0.00,2.0,2.0,0.05,-2.0,-2.0,Matches
