,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,21,1997,7.8,3,0,0,9,4,0,44.4,1.15,0.51,0.33,0.75,1.2,1.2,0.13,+1.8,+1.8,Matches
277,Robert Berić\Robert-Beric,si SVN,FWMF,Saint-Étienne,fr Ligue 1,28,1991,4.6,1,0,0,7,1,0,14.3,1.53,0.22,0.14,1.00,1.2,1.2,0.18,-0.2,-0.2,Matches
278,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
279,Valon Berisha\Valon-Berisha,xk KVX,MFFW,Lazio,it Serie A,26,1993,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
280,Valon Berisha\Valon-Berisha,xk KVX,MFFW,Düsseldorf,de Bundesliga,26,1993,10.5,0,0,0,12,3,0,25.0,1.15,0.29,0.00,0.00,0.9,0.9,0.08,-0.9,-0.9,Matches
281,Sergio Bermejo\Sergio-Bermejo,es ESP,FW,Celta Vigo,es La Liga,21,1997,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
282,Bernard\Bernard,br BRA,MFFW,Everton,eng Premier League,26,1992,14.2,3,0,0,12,4,1,33.3,0.84,0.28,0.25,0.75,1.0,1.0,0.09,+2.0,+2.0,Matches
283,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,Juventus,it Serie A,25,1994,15.7,1,0,0,44,9,1,20.5,2.81,0.57,0.02,0.11,4.2,4.2,0.10,-3.2,-3.2,Matches
284,Bernardo\Bernardo,br BRA,DF,Brighton,eng Premier League,24,1995,7.5,0,0,0,7,2,0,28.6,0.93,0.27,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
285,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,24.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
286,Juan Bernat\Juan-Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,26,1993,15.4,0,0,0,6,1,0,16.7,0.39,0.06,0.00,0.00,0.5,0.5,0.09,-0.5,-0.5,Matches
287,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,2.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
288,Andrea Bertolacci\Andrea-Bertolacci,it ITA,MF,Sampdoria,it Serie A,28,1991,4.9,0,0,0,4,2,0,50.0,0.81,0.40,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
289,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,29,1989,30.5,1,0,0,19,4,1,21.1,0.62,0.13,0.05,0.25,2.0,2.0,0.10,-1.0,-1.0,Matches
290,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,eng Premier League,26,1992,2.8,0,0,0,4,2,0,50.0,1.44,0.72,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
291,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,de Bundesliga,19,2000,1.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
292,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,de Bundesliga,29,1990,13.1,2,0,0,8,2,0,25.0,0.61,0.15,0.25,1.00,0.7,0.7,0.09,+1.3,+1.3,Matches
293,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,28,1990,19.7,3,0,0,8,5,0,62.5,0.41,0.25,0.38,0.60,1.6,1.6,0.20,+1.4,+1.4,Matches
294,Lucas Biglia\Lucas-Biglia,ar ARG,MF,Milan,it Serie A,33,1986,7.5,0,0,0,6,1,1,16.7,0.80,0.13,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
295,El Bilal Touré\El-Bilal-Toure,ml MLI,FW,Reims,fr Ligue 1,17,2001,5.0,3,2,2,9,4,0,44.4,1.79,0.79,0.11,0.25,3.7,2.3,0.25,-0.7,-1.3,Matches
296,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,eng Premier League,23,1996,28.1,1,0,0,34,8,1,23.5,1.21,0.28,0.03,0.13,2.3,2.3,0.07,-1.3,-1.3,Matches
297,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DFMF,Inter,it Serie A,26,1992,16.5,2,0,0,9,6,5,66.7,0.55,0.36,0.22,0.33,0.9,0.9,0.10,+1.1,+1.1,Matches
298,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.4,0,0,0,6,2,0,33.3,0.28,0.09,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
299,Valter Birsa\Valter-Birsa,si SVN,MF,Cagliari,it Serie A,32,1986,4.7,0,0,0,3,0,0,0.0,0.64,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
300,Dimitri Bisoli\Dimitri-Bisoli,it ITA,MF,Brescia,it Serie A,25,1994,23.9,1,0,0,26,9,0,34.6,1.09,0.38,0.04,0.11,2.6,2.6,0.10,-1.6,-1.6,Matches
301,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,22,1996,14.0,1,0,0,16,6,0,37.5,1.14,0.43,0.06,0.17,0.4,0.4,0.03,+0.6,+0.6,Matches
302,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,FW,Hoffenheim,de Bundesliga,25,1993,0.0,0,0,0,1,0,0,0.0,30.00,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
303,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,FWMF,Werder Bremen,de Bundesliga,25,1993,21.0,4,0,0,42,11,0,26.2,2.00,0.52,0.10,0.36,3.2,3.2,0.08,+0.8,+0.8,Matches
304,Birkir Bjarnason\Birkir-Bjarnason,is ISL,MFFW,Brescia,it Serie A,31,1988,8.9,0,0,0,9,3,0,33.3,1.02,0.34,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
305,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,32.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
306,Ludovic Blas\Ludovic-Blas,fr FRA,FWMF,Nantes,fr Ligue 1,21,1997,20.5,5,0,0,46,20,0,43.5,2.24,0.98,0.11,0.25,2.9,2.9,0.06,+2.1,+2.1,Matches
307,Pablo de Blasis\Pablo-de-Blasis,ar ARG,DFMF,Eibar,es La Liga,31,1988,17.8,2,1,1,13,4,1,30.8,0.73,0.22,0.08,0.25,2.6,1.8,0.14,-0.6,-0.8,Matches
308,Alejandro Blesa\Alejandro-Blesa,es ESP,MF,Levante,es La Liga,17,2002,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
309,Alexis Blin\Alexis-Blin,fr FRA,MF,Amiens,fr Ligue 1,22,1996,20.5,0,0,0,2,0,0,0.0,0.10,0.00,0.00,,0.2,0.2,0.09,-0.2,-0.2,Matches
310,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,20.0,0,0,0,6,2,0,33.3,0.30,0.10,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
311,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FW,Fiorentina,it Serie A,32,1987,6.7,1,0,0,18,4,0,22.2,2.70,0.60,0.06,0.25,1.7,1.7,0.09,-0.7,-0.7,Matches
